;variable;value
0;beta_{i};-1.7042292
1;beta_{i};-2.0539556
2;beta_{i};-2.1547065
3;beta_{i};-1.8637205
4;beta_{i};-1.322211
5;beta_{i};-0.9074527
6;beta_{i};-1.0058942
7;beta_{i};-0.7807438
8;beta_{i};1.0029296
9;beta_{i};0.9114458
10;beta_{i};1.2162757
11;beta_{i};1.1315576
12;beta_{i};1.7868633
13;beta_{i};2.0517492
14;beta_{i};2.2159941
15;beta_{i};2.2504048
16;beta_{i};0.0144752525
17;beta_{i};-0.123091206
18;beta_{i};0.11912481
19;beta_{i};-0.14934818
20;beta_{i};0.24216084
21;beta_{i};-0.23013271
22;beta_{i};-0.21866341
23;beta_{i};-0.13452868
24;beta_{i};0.12284737
25;beta_{i};0.2928377
26;beta_{i};0.14517853
27;beta_{i};0.113668635
28;beta_{i};-0.08090237
29;beta_{i};-0.008506608
30;beta_{i};-0.254381
31;beta_{i};0.08815336
32;beta_{i};-0.02339129
33;beta_{i};-0.16168784
34;beta_{i};0.09783621
35;beta_{i};0.27288973
36;beta_{i};0.18053217
37;beta_{i};0.03699175
38;beta_{i};0.06429088
39;beta_{i};-0.10771692
