;variable;value
0;mu1;0.302866
1;mu1;0.2949225
2;mu1;0.29478428
3;mu1;0.30099335
4;mu2;90.497345
5;mu2;90.51188
6;mu2;91.32585
7;mu2;89.78027
8;mu3;7.2707214
9;mu3;7.5179358
10;mu3;7.757365
11;mu3;7.6088877
12;gamma2_1;0.0022676578
13;gamma2_1;0.0030609234
14;gamma2_1;0.0028602986
15;gamma2_1;0.0018929366
16;gamma2_2;19.563272
17;gamma2_2;16.15063
18;gamma2_2;19.526112
19;gamma2_2;15.827556
20;sigma2;0.0010290302
21;sigma2;0.0010246489
22;sigma2;0.0009817869
23;sigma2;0.0009465646
24;alpha;14.985019
25;alpha;12.272402
26;alpha;12.4067
27;alpha;11.333439
