;variable;value
0;mu1;0.30215302
1;mu1;0.29223624
2;mu1;0.29567146
3;mu1;0.30087537
4;mu1;0.30079
5;mu1;0.29811075
6;mu1;0.2956903
7;mu1;0.28916574
8;mu1;0.30065832
9;mu1;0.30444935
10;mu1;0.3115138
11;mu1;0.28952608
12;mu1;0.30132604
13;mu1;0.3017864
14;mu1;0.28945822
15;mu1;0.29714915
16;mu1;0.30202958
17;mu1;0.29446533
18;mu1;0.30004686
19;mu1;0.29958227
20;mu1;0.3015589
21;mu1;0.29938588
22;mu1;0.29307115
23;mu1;0.28992477
24;mu1;0.2981504
25;mu1;0.30758923
26;mu1;0.2917416
27;mu1;0.3049758
28;mu1;0.2931791
29;mu1;0.30662248
30;mu1;0.30716825
31;mu1;0.30145395
32;mu1;0.31267515
33;mu1;0.3029817
34;mu1;0.30263725
35;mu1;0.30702665
36;mu1;0.29070225
37;mu1;0.2972954
38;mu1;0.3011993
39;mu1;0.2998025
40;mu1;0.29172498
41;mu1;0.29795668
42;mu1;0.30282333
43;mu1;0.31137854
44;mu1;0.30552495
45;mu1;0.30478022
46;mu1;0.29236025
47;mu1;0.29671246
48;mu1;0.3040969
49;mu1;0.29853836
50;mu2;90.40425
51;mu2;89.69019
52;mu2;91.25723
53;mu2;89.78423
54;mu2;90.6585
55;mu2;90.07914
56;mu2;90.24168
57;mu2;89.6661
58;mu2;90.734085
59;mu2;89.69282
60;mu2;90.17719
61;mu2;89.54268
62;mu2;89.697655
63;mu2;89.99048
64;mu2;89.512794
65;mu2;90.35922
66;mu2;90.176186
67;mu2;90.790344
68;mu2;91.04673
69;mu2;89.53295
70;mu2;90.05197
71;mu2;90.388695
72;mu2;89.81148
73;mu2;89.92627
74;mu2;89.482605
75;mu2;90.69035
76;mu2;89.93699
77;mu2;89.67752
78;mu2;89.940254
79;mu2;90.54574
80;mu2;90.407814
81;mu2;90.38748
82;mu2;90.11845
83;mu2;90.102005
84;mu2;90.21967
85;mu2;90.05669
86;mu2;90.03376
87;mu2;89.812996
88;mu2;89.09401
89;mu2;89.40799
90;mu2;89.74418
91;mu2;89.610916
92;mu2;89.69372
93;mu2;89.6664
94;mu2;89.4812
95;mu2;90.14375
96;mu2;90.339516
97;mu2;90.51818
98;mu2;88.74625
99;mu2;89.668724
100;mu3;7.2323513
101;mu3;7.7484217
102;mu3;7.8263974
103;mu3;7.633121
104;mu3;7.409874
105;mu3;7.2951274
106;mu3;7.340989
107;mu3;7.302821
108;mu3;7.719902
109;mu3;7.4128304
110;mu3;7.3169603
111;mu3;7.489307
112;mu3;7.4285226
113;mu3;7.818282
114;mu3;7.3772473
115;mu3;7.510866
116;mu3;7.501888
117;mu3;7.452428
118;mu3;7.5496454
119;mu3;7.6827555
120;mu3;7.3559217
121;mu3;7.607377
122;mu3;7.256171
123;mu3;7.4965534
124;mu3;7.3399043
125;mu3;7.5471854
126;mu3;7.3725166
127;mu3;7.681678
128;mu3;7.3337083
129;mu3;7.5822525
130;mu3;7.5102706
131;mu3;7.234154
132;mu3;7.7285438
133;mu3;7.511198
134;mu3;7.7601104
135;mu3;7.5754557
136;mu3;7.536582
137;mu3;7.4652076
138;mu3;7.710165
139;mu3;7.5280337
140;mu3;7.229396
141;mu3;7.1546307
142;mu3;7.740975
143;mu3;7.4398255
144;mu3;7.6483464
145;mu3;7.79619
146;mu3;7.5072103
147;mu3;7.4963956
148;mu3;7.2716784
149;mu3;7.6739016
150;gamma2_1;0.0023758893
151;gamma2_1;0.0034206226
152;gamma2_1;0.0031297514
153;gamma2_1;0.0020889875
154;gamma2_1;0.0030526477
155;gamma2_1;0.0020133608
156;gamma2_1;0.0020178303
157;gamma2_1;0.0039293873
158;gamma2_1;0.0029747572
159;gamma2_1;0.002906406
160;gamma2_1;0.0023165166
161;gamma2_1;0.002291852
162;gamma2_1;0.003063867
163;gamma2_1;0.0028239063
164;gamma2_1;0.0025588183
165;gamma2_1;0.0024615794
166;gamma2_1;0.0020777427
167;gamma2_1;0.0020102856
168;gamma2_1;0.0023377414
169;gamma2_1;0.002235897
170;gamma2_1;0.0023862892
171;gamma2_1;0.0031376476
172;gamma2_1;0.0026378685
173;gamma2_1;0.0026611611
174;gamma2_1;0.003175693
175;gamma2_1;0.0020374325
176;gamma2_1;0.0028909284
177;gamma2_1;0.0020668628
178;gamma2_1;0.0025583769
179;gamma2_1;0.002010655
180;gamma2_1;0.0022921953
181;gamma2_1;0.002687767
182;gamma2_1;0.0020717154
183;gamma2_1;0.0025981239
184;gamma2_1;0.002734213
185;gamma2_1;0.0025079881
186;gamma2_1;0.0029010093
187;gamma2_1;0.0027300217
188;gamma2_1;0.0022948596
189;gamma2_1;0.002478655
190;gamma2_1;0.002484308
191;gamma2_1;0.0029135346
192;gamma2_1;0.0020006755
193;gamma2_1;0.002638442
194;gamma2_1;0.0022781666
195;gamma2_1;0.0032251813
196;gamma2_1;0.0023356685
197;gamma2_1;0.0016265638
198;gamma2_1;0.002251751
199;gamma2_1;0.0028626814
200;gamma2_2;18.180405
201;gamma2_2;0.0015446747
202;gamma2_2;20.784416
203;gamma2_2;14.4541645
204;gamma2_2;18.50821
205;gamma2_2;19.003803
206;gamma2_2;17.93187
207;gamma2_2;22.053791
208;gamma2_2;18.022259
209;gamma2_2;16.024836
210;gamma2_2;18.951847
211;gamma2_2;15.136564
212;gamma2_2;21.797064
213;gamma2_2;18.78098
214;gamma2_2;21.356136
215;gamma2_2;20.320662
216;gamma2_2;25.284302
217;gamma2_2;32.194683
218;gamma2_2;22.671707
219;gamma2_2;17.681198
220;gamma2_2;19.833113
221;gamma2_2;20.711884
222;gamma2_2;21.619043
223;gamma2_2;27.398855
224;gamma2_2;14.291031
225;gamma2_2;20.524582
226;gamma2_2;16.457785
227;gamma2_2;16.691029
228;gamma2_2;16.011375
229;gamma2_2;24.804075
230;gamma2_2;21.458046
231;gamma2_2;21.089027
232;gamma2_2;17.093895
233;gamma2_2;18.945496
234;gamma2_2;17.391407
235;gamma2_2;24.36001
236;gamma2_2;21.529152
237;gamma2_2;20.830412
238;gamma2_2;22.882269
239;gamma2_2;17.72072
240;gamma2_2;16.955029
241;gamma2_2;20.991297
242;gamma2_2;23.016178
243;gamma2_2;24.288643
244;gamma2_2;22.320423
245;gamma2_2;18.773668
246;gamma2_2;20.407106
247;gamma2_2;16.376163
248;gamma2_2;16.951792
249;gamma2_2;24.726406
250;sigma2;0.0010182103
251;sigma2;0.0013450921
