;variable;value
0;mu1;0.30473134
1;mu1;0.29196596
2;mu1;0.29618686
3;mu1;0.3014735
4;mu1;0.30194616
5;mu1;0.29938596
6;mu1;0.29665476
7;mu1;0.29068857
8;mu1;0.2989168
9;mu1;0.30538675
10;mu1;0.31016797
11;mu1;0.29384696
12;mu1;0.30518284
13;mu1;0.29848245
14;mu1;0.29267344
15;mu1;0.29323635
16;mu1;0.30533108
17;mu1;0.29369858
18;mu1;0.29841903
19;mu1;0.29852894
20;mu1;0.29769975
21;mu1;0.30023313
22;mu1;0.2966113
23;mu1;0.29009977
24;mu1;0.2998307
25;mu1;0.31078774
26;mu1;0.29241538
27;mu1;0.30690825
28;mu1;0.29665104
29;mu1;0.30651405
30;mu1;0.30967078
31;mu1;0.30163002
32;mu1;0.31248537
33;mu1;0.3066076
34;mu1;0.3008612
35;mu1;0.30764514
36;mu1;0.29504785
37;mu1;0.29600343
38;mu1;0.29994994
39;mu1;0.2998363
40;mu1;0.29232886
41;mu1;0.29839724
42;mu1;0.30651876
43;mu1;0.31211686
44;mu1;0.3006249
45;mu1;0.30484045
46;mu1;0.29606238
47;mu1;0.2987619
48;mu1;0.30503875
49;mu1;0.2950257
50;mu2;90.2686
51;mu2;89.77298
52;mu2;91.58044
53;mu2;89.83196
54;mu2;91.02831
55;mu2;90.29932
56;mu2;90.42079
57;mu2;89.803246
58;mu2;90.65478
59;mu2;89.67831
60;mu2;90.06665
61;mu2;89.7738
62;mu2;90.01705
63;mu2;89.68621
64;mu2;89.57439
65;mu2;90.282
66;mu2;90.333885
67;mu2;90.57877
68;mu2;90.75174
69;mu2;89.12552
70;mu2;89.86136
71;mu2;90.51404
72;mu2;90.01297
73;mu2;89.6383
74;mu2;89.633
75;mu2;91.006714
76;mu2;89.82857
77;mu2;89.86502
78;mu2;90.29751
79;mu2;90.63269
80;mu2;90.51214
81;mu2;90.51642
82;mu2;90.216
83;mu2;90.281296
84;mu2;89.89252
85;mu2;90.031395
86;mu2;90.26301
87;mu2;89.610306
88;mu2;89.124886
89;mu2;89.80918
90;mu2;90.138084
91;mu2;90.09243
92;mu2;90.425934
93;mu2;89.50499
94;mu2;89.02922
95;mu2;90.53568
96;mu2;90.71932
97;mu2;90.475464
98;mu2;88.97858
99;mu2;89.37248
100;mu3;7.3635774
101;mu3;7.7820735
102;mu3;7.832097
103;mu3;7.6484513
104;mu3;7.559394
105;mu3;7.406019
106;mu3;7.3765206
107;mu3;7.3772507
108;mu3;7.576892
109;mu3;7.4439726
110;mu3;7.2572794
111;mu3;7.714697
112;mu3;7.608059
113;mu3;7.6818967
114;mu3;7.5692725
115;mu3;7.355426
116;mu3;7.659774
117;mu3;7.383633
118;mu3;7.5159626
119;mu3;7.536819
120;mu3;7.222688
121;mu3;7.6874466
122;mu3;7.6059937
123;mu3;7.491625
124;mu3;7.4816155
125;mu3;7.716255
126;mu3;7.41315
127;mu3;7.8135357
128;mu3;7.5792894
129;mu3;7.5961213
130;mu3;7.525056
131;mu3;7.2976713
132;mu3;7.749796
133;mu3;7.795906
134;mu3;7.631964
135;mu3;7.6051416
136;mu3;7.733513
137;mu3;7.4167385
138;mu3;7.6731396
139;mu3;7.503566
140;mu3;7.3204165
141;mu3;7.2097883
142;mu3;7.926325
143;mu3;7.5189805
144;mu3;7.3684983
145;mu3;7.797228
146;mu3;7.685411
147;mu3;7.6542244
148;mu3;7.339575
149;mu3;7.4319005
150;gamma2_1;0.0025277026
151;gamma2_1;0.0034816621
152;gamma2_1;0.0028970751
153;gamma2_1;0.002009683
154;gamma2_1;0.003488486
155;gamma2_1;0.0022357986
156;gamma2_1;0.0021440214
157;gamma2_1;0.003641191
158;gamma2_1;0.0027298892
159;gamma2_1;0.0029414278
160;gamma2_1;0.0022688024
161;gamma2_1;0.0023792912
162;gamma2_1;0.0030020287
163;gamma2_1;0.0030169825
164;gamma2_1;0.002761955
165;gamma2_1;0.0024894238
166;gamma2_1;0.0019553702
167;gamma2_1;0.0017152623
168;gamma2_1;0.0026783093
169;gamma2_1;0.0021119555
170;gamma2_1;0.0024874401
171;gamma2_1;0.0031307861
172;gamma2_1;0.0024719127
173;gamma2_1;0.0023659952
174;gamma2_1;0.0034614748
175;gamma2_1;0.0021708303
176;gamma2_1;0.0030236572
177;gamma2_1;0.0018979392
178;gamma2_1;0.0027876277
179;gamma2_1;0.0019750318
180;gamma2_1;0.0023893763
181;gamma2_1;0.0027389247
182;gamma2_1;0.0018996354
183;gamma2_1;0.0030161352
184;gamma2_1;0.0028721858
185;gamma2_1;0.0024601372
186;gamma2_1;0.0029460036
187;gamma2_1;0.0025888006
188;gamma2_1;0.0021990975
189;gamma2_1;0.0024607924
190;gamma2_1;0.0024398717
191;gamma2_1;0.0028877952
192;gamma2_1;0.0020253775
193;gamma2_1;0.0027401468
194;gamma2_1;0.0023563788
195;gamma2_1;0.0032403842
196;gamma2_1;0.0020870098
197;gamma2_1;0.0015384358
198;gamma2_1;0.00239357
199;gamma2_1;0.0026734897
200;gamma2_2;21.601185
201;gamma2_2;0.00020354071
202;gamma2_2;22.155167
203;gamma2_2;17.429455
204;gamma2_2;18.689026
205;gamma2_2;16.16217
206;gamma2_2;16.30843
207;gamma2_2;18.874195
208;gamma2_2;17.2027
209;gamma2_2;14.503328
210;gamma2_2;20.795748
211;gamma2_2;15.715804
212;gamma2_2;22.13293
213;gamma2_2;16.201584
214;gamma2_2;19.239227
215;gamma2_2;17.671507
216;gamma2_2;25.357416
217;gamma2_2;34.60039
218;gamma2_2;23.127724
219;gamma2_2;16.322598
220;gamma2_2;16.392939
221;gamma2_2;21.118763
222;gamma2_2;18.552265
223;gamma2_2;25.334301
224;gamma2_2;18.978867
225;gamma2_2;21.716452
226;gamma2_2;14.643035
227;gamma2_2;18.676613
228;gamma2_2;16.899647
229;gamma2_2;24.67134
230;gamma2_2;20.1422
231;gamma2_2;20.729368
232;gamma2_2;14.630487
233;gamma2_2;20.102415
234;gamma2_2;17.263157
235;gamma2_2;24.62368
236;gamma2_2;25.584873
237;gamma2_2;22.677862
238;gamma2_2;25.933115
239;gamma2_2;21.809786
240;gamma2_2;15.277352
241;gamma2_2;18.759964
242;gamma2_2;22.71635
243;gamma2_2;27.324062
244;gamma2_2;22.114246
245;gamma2_2;22.977446
246;gamma2_2;24.10838
247;gamma2_2;18.281351
248;gamma2_2;17.70878
249;gamma2_2;24.087624
250;sigma2;0.0010141873
251;sigma2;0.0013445519
252;sigma2;0.0009822308
253;sigma2;0.00094161124
254;sigma2;0.0010400102
255;sigma2;0.0009882622
256;sigma2;0.0009600172
257;sigma2;0.0010457232
258;sigma2;0.0009797316
259;sigma2;0.0010381151
260;sigma2;0.0010629874
261;sigma2;0.0010360762
262;sigma2;0.001085752
263;sigma2;0.0009195584
264;sigma2;0.0009234272
265;sigma2;0.0010362677
266;sigma2;0.0009592524
267;sigma2;0.0009768506
268;sigma2;0.0010265503
269;sigma2;0.0009917937
270;sigma2;0.0009848564
271;sigma2;0.0009600778
272;sigma2;0.0010014601
273;sigma2;0.0010426355
274;sigma2;0.0010052092
275;sigma2;0.0010257378
276;sigma2;0.0009251915
277;sigma2;0.0009742056
278;sigma2;0.00096312515
279;sigma2;0.0010603531
280;sigma2;0.0010158346
281;sigma2;0.0009890299
282;sigma2;0.0010376777
283;sigma2;0.0009987314
284;sigma2;0.0010166209
285;sigma2;0.0010277567
286;sigma2;0.0010068688
287;sigma2;0.0009995766
288;sigma2;0.0010391136
289;sigma2;0.00094102364
290;sigma2;0.0009736151
291;sigma2;0.0010022303
292;sigma2;0.0010022392
293;sigma2;0.0010269182
294;sigma2;0.0009775766
295;sigma2;0.0009808938
296;sigma2;0.0009997959
297;sigma2;0.0009726363
298;sigma2;0.00096602086
299;sigma2;0.0009771598
300;alpha;11.2544775
301;alpha;6.6510634
302;alpha;8.545643
303;alpha;8.940927
304;alpha;9.170893
305;alpha;12.73212
306;alpha;10.550125
307;alpha;14.891862
308;alpha;9.7075
309;alpha;8.594464
310;alpha;15.346728
311;alpha;7.45235
312;alpha;8.275647
313;alpha;8.784716
314;alpha;10.828241
315;alpha;9.766263
316;alpha;10.300711
317;alpha;11.537719
318;alpha;10.164985
319;alpha;13.415737
320;alpha;11.820718
321;alpha;9.141961
322;alpha;9.85629
323;alpha;7.8022947
324;alpha;10.907774
325;alpha;7.445753
326;alpha;8.381268
327;alpha;13.543394
328;alpha;8.852612
329;alpha;11.788973
330;alpha;9.433972
331;alpha;10.330933
332;alpha;11.376865
333;alpha;8.452432
334;alpha;11.876709
335;alpha;8.939989
336;alpha;12.75969
337;alpha;11.3970175
338;alpha;8.7215605
339;alpha;9.227764
340;alpha;8.359984
341;alpha;7.340217
342;alpha;8.179016
343;alpha;10.64538
344;alpha;10.182051
345;alpha;6.955654
346;alpha;9.237972
347;alpha;10.620785
348;alpha;10.904594
349;alpha;7.5739374
