;variable;value
0;mu1;0.3026186
1;mu1;0.29412284
2;mu1;0.29527944
3;mu1;0.30113482
4;mu1;0.3008928
5;mu1;0.29815215
6;mu1;0.29571798
7;mu1;0.29057446
8;mu1;0.29941398
9;mu1;0.30458724
10;mu1;0.31304958
11;mu1;0.2937623
12;mu1;0.30323553
13;mu1;0.30220836
14;mu1;0.29096487
15;mu1;0.29574347
16;mu1;0.3054061
17;mu1;0.29325193
18;mu1;0.29872233
19;mu1;0.29984072
20;mu1;0.30108333
21;mu1;0.29970333
22;mu1;0.29545194
23;mu1;0.28992885
24;mu1;0.30000666
25;mu1;0.30770484
26;mu1;0.29227102
27;mu1;0.30509174
28;mu1;0.2971674
29;mu1;0.3073593
30;mu1;0.30821353
31;mu1;0.3022948
32;mu1;0.3102592
33;mu1;0.3049539
34;mu1;0.3019853
35;mu1;0.30842477
36;mu1;0.29328513
37;mu1;0.29508704
38;mu1;0.2991708
39;mu1;0.29866844
40;mu1;0.29102567
41;mu1;0.3000546
42;mu1;0.30496258
43;mu1;0.31002772
44;mu1;0.30331272
45;mu1;0.3057542
46;mu1;0.29257917
47;mu1;0.29903126
48;mu1;0.3064713
49;mu1;0.29692572
50;mu2;90.4684
51;mu2;90.410934
52;mu2;91.38553
53;mu2;89.79432
54;mu2;90.72975
55;mu2;90.08093
56;mu2;90.42452
57;mu2;89.81387
58;mu2;90.66817
59;mu2;89.68264
60;mu2;90.39016
61;mu2;89.63134
62;mu2;90.08402
63;mu2;90.113
64;mu2;89.62153
65;mu2;90.38322
66;mu2;90.50955
67;mu2;90.498535
68;mu2;90.670815
69;mu2;89.429405
70;mu2;89.97133
71;mu2;90.56542
72;mu2;90.080635
73;mu2;89.68002
74;mu2;89.650345
75;mu2;90.70686
76;mu2;89.80579
77;mu2;89.746994
78;mu2;90.28721
79;mu2;90.39032
80;mu2;90.505875
81;mu2;90.58444
82;mu2;90.047386
83;mu2;90.352715
84;mu2;90.18286
85;mu2;90.14406
86;mu2;90.02428
87;mu2;89.43749
88;mu2;89.08619
89;mu2;89.442856
90;mu2;89.98339
91;mu2;90.06392
92;mu2;89.94433
93;mu2;89.32099
94;mu2;89.10166
95;mu2;90.3375
96;mu2;90.22246
97;mu2;90.61838
98;mu2;88.94459
99;mu2;89.30299
100;mu3;7.267428
101;mu3;7.477026
102;mu3;7.7760673
103;mu3;7.6130624
104;mu3;7.450099
105;mu3;7.3342137
106;mu3;7.3346205
107;mu3;7.3669796
108;mu3;7.611539
109;mu3;7.3944206
110;mu3;7.3934364
111;mu3;7.6930656
112;mu3;7.5133524
113;mu3;7.8183703
114;mu3;7.4796486
115;mu3;7.4393864
116;mu3;7.68539
117;mu3;7.360733
118;mu3;7.4954405
119;mu3;7.6488786
120;mu3;7.3465147
121;mu3;7.651908
122;mu3;7.4463453
123;mu3;7.5157475
124;mu3;7.43411
125;mu3;7.527583
126;mu3;7.404995
127;mu3;7.726748
128;mu3;7.514748
129;mu3;7.6343184
130;mu3;7.5259523
131;mu3;7.287843
132;mu3;7.6185684
133;mu3;7.6648283
134;mu3;7.687037
135;mu3;7.6229134
136;mu3;7.6296687
137;mu3;7.3778844
138;mu3;7.603209
139;mu3;7.4299197
140;mu3;7.228347
141;mu3;7.3176503
142;mu3;7.8868
143;mu3;7.4113216
144;mu3;7.5337257
145;mu3;7.843805
146;mu3;7.5351567
147;mu3;7.6187606
148;mu3;7.3936453
149;mu3;7.5225997
150;gamma2_1;0.002251146
151;gamma2_1;0.0030660548
152;gamma2_1;0.0028815875
153;gamma2_1;0.0019026855
154;gamma2_1;0.0032087823
155;gamma2_1;0.002153497
156;gamma2_1;0.0020758698
157;gamma2_1;0.0036809694
158;gamma2_1;0.0027380895
159;gamma2_1;0.0029946435
160;gamma2_1;0.002267582
161;gamma2_1;0.002300655
162;gamma2_1;0.0031367785
163;gamma2_1;0.002880684
164;gamma2_1;0.0027163608
165;gamma2_1;0.0023274703
166;gamma2_1;0.002005536
167;gamma2_1;0.0018012192
168;gamma2_1;0.0025039357
169;gamma2_1;0.0021456787
170;gamma2_1;0.0024413003
171;gamma2_1;0.0031209013
172;gamma2_1;0.0028404042
173;gamma2_1;0.002600615
174;gamma2_1;0.0031777928
175;gamma2_1;0.0020793476
176;gamma2_1;0.002918071
177;gamma2_1;0.0019494183
178;gamma2_1;0.0027053847
179;gamma2_1;0.0021333674
180;gamma2_1;0.002499823
181;gamma2_1;0.0025432818
182;gamma2_1;0.0020570436
183;gamma2_1;0.002844802
184;gamma2_1;0.002885204
185;gamma2_1;0.0024961282
186;gamma2_1;0.0028431232
187;gamma2_1;0.0027255255
188;gamma2_1;0.0022311166
189;gamma2_1;0.0025250653
190;gamma2_1;0.002481907
191;gamma2_1;0.003061139
192;gamma2_1;0.002024645
193;gamma2_1;0.0028413867
194;gamma2_1;0.0024057627
195;gamma2_1;0.0030723126
196;gamma2_1;0.0024305366
197;gamma2_1;0.0015405096
198;gamma2_1;0.0022684075
199;gamma2_1;0.002652026
200;gamma2_2;19.691648
201;gamma2_2;16.244642
202;gamma2_2;19.725693
203;gamma2_2;15.882553
204;gamma2_2;18.894499
205;gamma2_2;18.129238
206;gamma2_2;16.997854
207;gamma2_2;19.315895
208;gamma2_2;19.622658
209;gamma2_2;17.457376
210;gamma2_2;21.950369
211;gamma2_2;15.14368
212;gamma2_2;21.08159
213;gamma2_2;19.818186
214;gamma2_2;23.772392
215;gamma2_2;19.15839
216;gamma2_2;25.867466
217;gamma2_2;32.598385
218;gamma2_2;22.0727
219;gamma2_2;16.541134
220;gamma2_2;20.431555
221;gamma2_2;22.810383
222;gamma2_2;20.923157
223;gamma2_2;24.268078
224;gamma2_2;18.596512
225;gamma2_2;21.275274
226;gamma2_2;16.03749
227;gamma2_2;18.840086
228;gamma2_2;15.539823
229;gamma2_2;26.473347
230;gamma2_2;21.64216
231;gamma2_2;21.560291
232;gamma2_2;16.092447
233;gamma2_2;21.243074
234;gamma2_2;16.823305
235;gamma2_2;26.288204
236;gamma2_2;25.678074
237;gamma2_2;20.456715
238;gamma2_2;24.442083
239;gamma2_2;18.533228
240;gamma2_2;15.861526
241;gamma2_2;20.164669
242;gamma2_2;21.501238
243;gamma2_2;25.194809
244;gamma2_2;22.328596
245;gamma2_2;20.036777
246;gamma2_2;20.98101
247;gamma2_2;15.415802
248;gamma2_2;15.823412
249;gamma2_2;23.09494
250;sigma2;0.0010268572
251;sigma2;0.0010233698
252;sigma2;0.000979724
253;sigma2;0.0009446199
254;sigma2;0.0010327719
255;sigma2;0.0009929712
256;sigma2;0.0009690244
257;sigma2;0.0010588862
258;sigma2;0.0009723924
259;sigma2;0.0010411609
260;sigma2;0.0010735065
261;sigma2;0.0010366719
262;sigma2;0.001058893
263;sigma2;0.0009195538
264;sigma2;0.0009237509
265;sigma2;0.0010383377
266;sigma2;0.0009658696
267;sigma2;0.0009776914
268;sigma2;0.0010398586
269;sigma2;0.0009935567
270;sigma2;0.00097650755
271;sigma2;0.0009497913
272;sigma2;0.0010109933
273;sigma2;0.0010511471
274;sigma2;0.0010022284
275;sigma2;0.0010191158
276;sigma2;0.000930966
277;sigma2;0.0009824354
278;sigma2;0.0009514028
279;sigma2;0.0010426589
280;sigma2;0.0010221204
281;sigma2;0.0009934293
282;sigma2;0.0010388325
283;sigma2;0.0009863339
284;sigma2;0.0010259438
285;sigma2;0.0010216022
286;sigma2;0.001005749
287;sigma2;0.0010079552
288;sigma2;0.001021967
289;sigma2;0.0009500977
290;sigma2;0.0009658869
291;sigma2;0.0009876
292;sigma2;0.0010165608
293;sigma2;0.0010471854
294;sigma2;0.0009744392
295;sigma2;0.0009868375
296;sigma2;0.0009990259
297;sigma2;0.0009935774
298;sigma2;0.0009607282
299;sigma2;0.00098936
300;alpha;14.295316
301;alpha;12.330374
302;alpha;12.806268
303;alpha;10.427579
304;alpha;9.633249
305;alpha;11.104928
306;alpha;13.922327
307;alpha;16.461508
308;alpha;10.456086
309;alpha;10.931936
310;alpha;18.23792
311;alpha;9.293047
312;alpha;10.904444
313;alpha;12.413673
314;alpha;13.302639
315;alpha;12.959171
316;alpha;12.127768
317;alpha;13.746367
318;alpha;9.845008
319;alpha;14.695264
320;alpha;13.709388
321;alpha;13.377643
322;alpha;12.579007
323;alpha;8.719501
324;alpha;12.550707
325;alpha;9.442175
326;alpha;9.910124
327;alpha;14.783775
328;alpha;12.271912
329;alpha;13.14769
330;alpha;10.54324
331;alpha;12.736892
332;alpha;12.8673115
333;alpha;11.261242
334;alpha;13.458384
335;alpha;10.418139
336;alpha;15.279818
337;alpha;12.9932575
338;alpha;10.960838
339;alpha;10.1900215
340;alpha;10.540461
341;alpha;7.8875484
342;alpha;7.4412036
343;alpha;11.122055
344;alpha;11.314201
345;alpha;6.856655
346;alpha;11.006121
347;alpha;12.12637
348;alpha;11.413006
349;alpha;7.3179107
