;variable;value
0;mu1;0.30195275
1;mu1;0.2936701
2;mu1;0.29715574
3;mu1;0.3000775
4;mu1;0.3010768
5;mu1;0.29851454
6;mu1;0.2971395
7;mu1;0.28880423
8;mu1;0.29962215
9;mu1;0.30531013
10;mu1;0.31301618
11;mu1;0.29393888
12;mu1;0.30349356
13;mu1;0.30180016
14;mu1;0.29042432
15;mu1;0.2967394
16;mu1;0.30362898
17;mu1;0.29221636
18;mu1;0.29853904
19;mu1;0.29921442
20;mu1;0.2995775
21;mu1;0.29932803
22;mu1;0.2948018
23;mu1;0.29018056
24;mu1;0.2993719
25;mu1;0.3078173
26;mu1;0.2917578
27;mu1;0.3049724
28;mu1;0.29577237
29;mu1;0.30773744
30;mu1;0.30864388
31;mu1;0.3016613
32;mu1;0.3108597
33;mu1;0.3055098
34;mu1;0.30134562
35;mu1;0.3090527
36;mu1;0.29309246
37;mu1;0.29656565
38;mu1;0.29915988
39;mu1;0.2989435
40;mu1;0.29070595
41;mu1;0.30014938
42;mu1;0.30365428
43;mu1;0.3107997
44;mu1;0.30348012
45;mu1;0.30564144
46;mu1;0.29259506
47;mu1;0.29921237
48;mu1;0.30752978
49;mu1;0.29739696
50;mu2;90.41197
51;mu2;90.319214
52;mu2;91.60684
53;mu2;89.71096
54;mu2;90.89899
55;mu2;90.100876
56;mu2;90.47784
57;mu2;89.616135
58;mu2;90.749664
59;mu2;89.79177
60;mu2;90.38361
61;mu2;89.69186
62;mu2;90.1367
63;mu2;90.09285
64;mu2;89.54921
65;mu2;90.410385
66;mu2;90.30581
67;mu2;90.36978
68;mu2;90.680984
69;mu2;89.45324
70;mu2;89.800835
71;mu2;90.53054
72;mu2;89.943535
73;mu2;89.714165
74;mu2;89.62106
75;mu2;90.7158
76;mu2;89.89506
77;mu2;89.675156
78;mu2;90.1632
79;mu2;90.494385
80;mu2;90.5115
81;mu2;90.49993
82;mu2;90.10095
83;mu2;90.32174
84;mu2;90.09401
85;mu2;90.19097
86;mu2;90.03088
87;mu2;89.55515
88;mu2;89.12007
89;mu2;89.519875
90;mu2;89.95703
