;variable;value
0;beta_0;-1.4231346
1;beta_1;-0.4626347
2;beta_2;0.43904603
3;beta_3;1.466479
4;beta_4;0.0
5;beta_5;0.0
6;beta_6;0.0
7;beta_7;0.0
8;beta_8;0.0
9;beta_9;0.0
10;beta_10;0.0
11;beta_11;0.0
12;beta_12;0.0
13;beta_13;0.0
14;beta_14;0.0
15;beta_15;0.0
16;beta_16;0.0
17;beta_17;0.0
18;beta_18;0.0
19;beta_19;0.0
20;beta_20;0.0
21;beta_21;0.0
22;beta_22;0.0
23;beta_23;0.0
24;beta_24;0.0
25;beta_25;0.0
26;beta_26;0.0
27;beta_27;0.0
28;beta_28;0.0
29;beta_29;0.0
30;beta_30;0.0
31;beta_31;0.0
32;beta_32;0.0
33;beta_33;0.0
34;beta_34;0.0
35;beta_35;0.0
36;beta_36;0.0
37;beta_37;0.0
38;beta_38;0.0
39;beta_39;0.0
40;beta_40;0.0
41;beta_41;0.0
42;beta_42;0.0
43;beta_43;0.0
44;beta_44;0.0
45;beta_45;0.0
46;beta_46;0.0
47;beta_47;0.0
48;beta_48;0.0
49;beta_49;0.0
50;beta_50;0.0
51;beta_51;0.0
52;beta_52;0.0
53;beta_53;0.0
54;beta_54;0.0
55;beta_55;0.0
56;beta_56;0.0
57;beta_57;0.0
58;beta_58;0.0
59;beta_59;0.0
60;beta_60;0.0
61;beta_61;0.0
62;beta_62;0.0
63;beta_63;0.0
64;beta_64;0.0
65;beta_65;0.0
66;beta_66;0.0
67;beta_67;0.0
68;beta_68;0.0
69;beta_69;0.0
70;beta_70;0.0
71;beta_71;0.0
72;beta_72;0.0
73;beta_73;0.0
74;beta_74;0.0
75;beta_75;0.0
76;beta_76;0.0
77;beta_77;0.0
78;beta_78;0.0
79;beta_79;0.0
80;beta_80;0.0
81;beta_81;0.0
82;beta_82;0.0
83;beta_83;0.0
84;beta_84;0.0
85;beta_85;0.0
86;beta_86;0.0
87;beta_87;0.0
88;beta_88;0.0
89;beta_89;0.0
90;beta_90;0.0
91;beta_91;0.0
92;beta_92;0.0
93;beta_93;0.0
94;beta_94;0.0
95;beta_95;0.0
96;beta_96;0.0
97;beta_97;0.0
98;beta_98;0.0
99;beta_99;0.0
100;beta_100;0.0
101;beta_101;0.0
102;beta_102;0.0
103;beta_103;0.0
104;beta_104;0.0
105;beta_105;0.0
106;beta_106;0.0
107;beta_107;0.0
108;beta_108;0.0
109;beta_109;0.0
110;beta_110;0.0
111;beta_111;0.0
112;beta_112;0.0
113;beta_113;0.0
114;beta_114;0.0
115;beta_115;0.0
116;beta_116;0.0
117;beta_117;0.0
118;beta_118;0.0
119;beta_119;0.0
120;beta_120;0.0
121;beta_121;0.0
122;beta_122;0.0
123;beta_123;0.0
124;beta_124;0.0
125;beta_125;0.0
126;beta_126;0.0
127;beta_127;0.0
128;beta_128;0.0
129;beta_129;0.0
130;beta_130;0.0
131;beta_131;0.0
132;beta_132;0.0
133;beta_133;0.0
134;beta_134;0.0
135;beta_135;0.0
136;beta_136;0.0
137;beta_137;0.0
138;beta_138;0.0
139;beta_139;0.0
140;beta_140;0.0
141;beta_141;0.0
142;beta_142;0.0
143;beta_143;0.0
144;beta_144;0.0
145;beta_145;0.0
146;beta_146;0.0
147;beta_147;0.0
148;beta_148;0.0
149;beta_149;0.0
150;beta_150;0.0
151;beta_151;0.0
152;beta_152;0.0
153;beta_153;0.0
154;beta_154;0.0
155;beta_155;0.0
156;beta_156;0.0
157;beta_157;0.0
158;beta_158;0.0
159;beta_159;0.0
160;beta_160;0.0
161;beta_161;0.0
162;beta_162;0.0
163;beta_163;0.0
164;beta_164;0.0
165;beta_165;0.0
166;beta_166;0.0
167;beta_167;0.0
168;beta_168;0.0
169;beta_169;0.0
170;beta_170;0.0
171;beta_171;0.0
172;beta_172;0.0
173;beta_173;0.0
174;beta_174;0.0
175;beta_175;0.0
176;beta_176;0.0
177;beta_177;0.0
178;beta_178;0.0
179;beta_179;0.0
180;beta_180;0.0
181;beta_181;0.0
182;beta_182;0.0
183;beta_183;0.0
184;beta_184;0.0
185;beta_185;0.0
186;beta_186;0.0
187;beta_187;0.0
188;beta_188;0.0
189;beta_189;0.0
190;beta_190;0.0
191;beta_191;0.0
192;beta_192;0.0
193;beta_193;-0.015587521
194;beta_194;0.0
195;beta_195;0.0
196;beta_196;0.0
197;beta_197;0.0
198;beta_198;0.0
199;beta_199;0.0
200;beta_200;0.0
201;beta_201;0.0
202;beta_202;0.0
203;beta_203;0.0
204;beta_204;0.0
205;beta_205;0.0
206;beta_206;0.0
207;beta_207;0.0
208;beta_208;0.0
209;beta_209;0.0
210;beta_210;0.0
211;beta_211;0.0
212;beta_212;0.0
213;beta_213;0.0
214;beta_214;0.0
215;beta_215;0.0
216;beta_216;0.0
217;beta_217;0.0
218;beta_218;0.0
219;beta_219;0.0
220;beta_220;0.0
221;beta_221;0.0
222;beta_222;0.0
223;beta_223;0.0
224;beta_224;0.0
225;beta_225;0.0
226;beta_226;0.0
227;beta_227;0.0
228;beta_228;0.0
229;beta_229;0.0
230;beta_230;0.0
231;beta_231;0.0
232;beta_232;0.0
233;beta_233;0.0
234;beta_234;0.0
235;beta_235;0.0
236;beta_236;0.0
237;beta_237;0.0
238;beta_238;0.0
239;beta_239;0.0
240;beta_240;0.0
241;beta_241;0.0
242;beta_242;0.0
243;beta_243;0.0
244;beta_244;0.0
245;beta_245;0.0
246;beta_246;0.0
247;beta_247;0.0
248;beta_248;0.0
249;beta_249;0.0
250;beta_250;0.0
251;beta_251;0.0
252;beta_252;0.0
253;beta_253;0.0
254;beta_254;0.0
255;beta_255;0.0
256;beta_256;0.0
257;beta_257;0.0
258;beta_258;0.0
259;beta_259;0.0
260;beta_260;0.0
261;beta_261;0.0
262;beta_262;0.0
263;beta_263;0.0
264;beta_264;0.0
265;beta_265;0.0
266;beta_266;0.0
267;beta_267;0.0
268;beta_268;0.0
269;beta_269;0.0
270;beta_270;0.0
271;beta_271;0.0
272;beta_272;0.0
273;beta_273;0.0
274;beta_274;0.0
275;beta_275;0.0
276;beta_276;0.0
277;beta_277;0.0
278;beta_278;0.0
279;beta_279;0.0
280;beta_280;0.0
281;beta_281;0.0
282;beta_282;0.0
283;beta_283;0.0
284;beta_284;0.0
285;beta_285;0.0
286;beta_286;0.0
287;beta_287;0.0
288;beta_288;0.0
289;beta_289;0.0
290;beta_290;0.0
291;beta_291;0.0
292;beta_292;0.0
293;beta_293;0.0
