;variable;value
0;beta_0;-1.92621
1;beta_1;-0.6413333
2;beta_2;0.77679396
3;beta_3;1.5617548
4;beta_4;0.0
5;beta_5;0.0
6;beta_6;0.0
7;beta_7;0.0
8;beta_8;0.0
9;beta_9;0.0
10;beta_10;0.0
11;beta_11;0.0
12;beta_12;0.0
13;beta_13;0.0
14;beta_14;0.0
15;beta_15;0.0
16;beta_16;0.0
17;beta_17;0.0
18;beta_18;0.0
19;beta_19;0.0
20;beta_20;0.0
21;beta_21;0.0
22;beta_22;0.0
23;beta_23;0.0
24;beta_24;0.0
25;beta_25;0.0
26;beta_26;0.0
27;beta_27;0.0
28;beta_28;0.0
29;beta_29;0.0
30;beta_30;0.0
31;beta_31;0.0
32;beta_32;0.0
33;beta_33;0.0
34;beta_34;0.0
35;beta_35;0.0
36;beta_36;0.0
37;beta_37;0.0
38;beta_38;0.0
39;beta_39;0.0
40;beta_40;0.0
41;beta_41;-0.172808
42;beta_42;0.0
43;beta_43;0.0
44;beta_44;0.0
45;beta_45;0.0
46;beta_46;0.0
47;beta_47;0.0
48;beta_48;0.0
49;beta_49;0.0
50;beta_50;0.0
51;beta_51;0.020405242
52;beta_52;0.0
53;beta_53;0.0
54;beta_54;0.0
55;beta_55;0.0
56;beta_56;0.0
57;beta_57;0.0
58;beta_58;0.0
59;beta_59;0.0
60;beta_60;-6.8117166e-05
61;beta_61;0.0
62;beta_62;-2.2051041e-05
63;beta_63;0.0
64;beta_64;0.0
65;beta_65;0.0
66;beta_66;0.0
67;beta_67;0.0
68;beta_68;0.0
69;beta_69;0.0
70;beta_70;0.0
71;beta_71;0.0
72;beta_72;0.0
73;beta_73;-2.323254e-05
74;beta_74;0.0
75;beta_75;0.0
76;beta_76;0.0
77;beta_77;0.0
78;beta_78;0.0
79;beta_79;0.0
80;beta_80;0.0
81;beta_81;0.0
82;beta_82;0.0
83;beta_83;0.0
84;beta_84;0.0
85;beta_85;0.0
86;beta_86;0.0
87;beta_87;0.0
88;beta_88;0.0
89;beta_89;0.0
90;beta_90;0.0
91;beta_91;0.0
92;beta_92;0.0
93;beta_93;-0.011886386
94;beta_94;0.0
95;beta_95;0.0
96;beta_96;0.0
97;beta_97;0.0
98;beta_98;0.0
99;beta_99;0.0
