;variable;value
0;mu1;0.303775
1;mu1;0.2937404
2;mu1;0.29416868
3;mu1;0.3001428
4;mu1;0.30324626
5;mu1;0.29788038
6;mu1;0.29659432
7;mu1;0.29099834
8;mu1;0.30070454
9;mu1;0.3045469
10;mu1;0.31254017
11;mu1;0.2933554
12;mu1;0.30325472
13;mu1;0.3003544
14;mu1;0.29001114
15;mu1;0.29535514
16;mu1;0.30504116
17;mu1;0.2941163
18;mu1;0.29788482
19;mu1;0.30022624
20;mu1;0.30011803
21;mu1;0.2999084
22;mu1;0.2953981
23;mu1;0.28964725
24;mu1;0.3004692
25;mu1;0.3070348
26;mu1;0.2937237
27;mu1;0.30317882
28;mu1;0.2959303
29;mu1;0.3074493
30;mu1;0.3093995
31;mu1;0.30206376
32;mu1;0.3104553
33;mu1;0.30438873
34;mu1;0.30285963
35;mu1;0.3083536
36;mu1;0.29343268
37;mu1;0.2956359
38;mu1;0.29807752
39;mu1;0.29743212
40;mu1;0.29158694
41;mu1;0.3005944
42;mu1;0.30679923
43;mu1;0.3103713
44;mu1;0.3020725
45;mu1;0.30486715
46;mu1;0.2913465
47;mu1;0.29856983
48;mu1;0.3057161
49;mu1;0.29634774
50;mu2;90.54014
51;mu2;90.3713
52;mu2;91.25107
53;mu2;89.658905
54;mu2;91.016014
55;mu2;90.07787
56;mu2;90.48526
57;mu2;89.94389
58;mu2;90.852325
59;mu2;89.70924
60;mu2;90.39367
61;mu2;89.67928
62;mu2;90.19921
63;mu2;90.050606
64;mu2;89.515274
65;mu2;90.364655
66;mu2;90.40049
67;mu2;90.58705
68;mu2;90.59557
69;mu2;89.42559
70;mu2;89.76003
71;mu2;90.5207
72;mu2;89.89849
73;mu2;89.64412
74;mu2;89.74186
75;mu2;90.664154
76;mu2;90.05692
77;mu2;89.63236
78;mu2;90.172485
79;mu2;90.49646
80;mu2;90.55964
81;mu2;90.38523
82;mu2;90.0357
83;mu2;90.35006
84;mu2;90.16857
85;mu2;90.19017
86;mu2;90.050606
87;mu2;89.5057
88;mu2;88.99139
89;mu2;89.36463
90;mu2;90.08251
91;mu2;90.138855
92;mu2;90.12354
93;mu2;89.418396
94;mu2;89.03303
95;mu2;90.28059
96;mu2;90.21347
97;mu2;90.52755
98;mu2;88.75609
99;mu2;89.24578
100;mu3;7.3610106
101;mu3;7.4543734
102;mu3;7.6996703
103;mu3;7.5442767
104;mu3;7.5615025
105;mu3;7.313812
106;mu3;7.367834
107;mu3;7.3788767
108;mu3;7.685746
109;mu3;7.40784
110;mu3;7.4078684
111;mu3;7.67937
112;mu3;7.501031
113;mu3;7.7379966
114;mu3;7.421508
115;mu3;7.4292192
116;mu3;7.6714096
117;mu3;7.4240723
118;mu3;7.4612184
119;mu3;7.679859
120;mu3;7.275608
121;mu3;7.664727
122;mu3;7.446163
123;mu3;7.4793234
124;mu3;7.470675
125;mu3;7.502922
126;mu3;7.4358554
127;mu3;7.6431665
128;mu3;7.449873
129;mu3;7.6670146
130;mu3;7.566893
131;mu3;7.2937336
132;mu3;7.6499643
133;mu3;7.654214
134;mu3;7.7301273
135;mu3;7.6069813
136;mu3;7.646677
137;mu3;7.3667855
138;mu3;7.534933
139;mu3;7.368187
140;mu3;7.2505865
141;mu3;7.3449326
142;mu3;7.9857626
143;mu3;7.4167986
144;mu3;7.468601
145;mu3;7.8141665
146;mu3;7.479567
147;mu3;7.5861263
148;mu3;7.3580046
149;mu3;7.5045705
150;gamma2_1;0.002305858
151;gamma2_1;0.0031205574
152;gamma2_1;0.0028693303
153;gamma2_1;0.001851174
154;gamma2_1;0.003217732
155;gamma2_1;0.0020973354
156;gamma2_1;0.002060743
157;gamma2_1;0.0035468845
158;gamma2_1;0.0027127916
159;gamma2_1;0.0029552334
160;gamma2_1;0.0023878112
161;gamma2_1;0.0022670876
162;gamma2_1;0.0029484474
163;gamma2_1;0.0029397171
164;gamma2_1;0.0027526596
165;gamma2_1;0.0024442612
166;gamma2_1;0.0019544782
167;gamma2_1;0.001864093
168;gamma2_1;0.0026424695
169;gamma2_1;0.0021896458
170;gamma2_1;0.002429821
171;gamma2_1;0.0031273533
172;gamma2_1;0.0028809172
173;gamma2_1;0.002510265
174;gamma2_1;0.0031428954
175;gamma2_1;0.0020275156
176;gamma2_1;0.0028857912
177;gamma2_1;0.0020221449
178;gamma2_1;0.0027380525
179;gamma2_1;0.0020260068
180;gamma2_1;0.0024455274
181;gamma2_1;0.0027128127
182;gamma2_1;0.0021342747
183;gamma2_1;0.0029433256
184;gamma2_1;0.0027949284
185;gamma2_1;0.0025041827
186;gamma2_1;0.0028351033
187;gamma2_1;0.0027004066
188;gamma2_1;0.0022933492
189;gamma2_1;0.0025491617
190;gamma2_1;0.0023623193
191;gamma2_1;0.0031075522
192;gamma2_1;0.0020483965
193;gamma2_1;0.0027165802
194;gamma2_1;0.0023569455
195;gamma2_1;0.003129062
196;gamma2_1;0.0024265754
197;gamma2_1;0.0015996201
198;gamma2_1;0.0023748963
199;gamma2_1;0.0027309556
200;gamma2_2;18.985186
201;gamma2_2;15.818773
202;gamma2_2;18.649519
203;gamma2_2;15.07208
204;gamma2_2;18.208778
205;gamma2_2;20.512278
206;gamma2_2;15.816688
207;gamma2_2;19.834978
208;gamma2_2;20.655973
209;gamma2_2;17.03666
210;gamma2_2;22.138916
211;gamma2_2;14.988037
212;gamma2_2;20.428534
213;gamma2_2;17.558022
