;variable;value
0;mu1;0.30088776
1;mu1;0.29535607
2;mu1;0.29558527
3;mu1;0.30195045
4;mu1;0.29974502
5;mu1;0.2965314
6;mu1;0.29499817
7;mu1;0.29092383
8;mu1;0.29919803
9;mu1;0.30359071
10;mu1;0.31379393
11;mu1;0.29327878
12;mu1;0.30282345
13;mu1;0.3008653
14;mu1;0.2904898
15;mu1;0.29579514
16;mu1;0.3054226
17;mu1;0.29249245
18;mu1;0.2966143
19;mu1;0.30121642
20;mu1;0.3007364
21;mu1;0.3017174
22;mu1;0.2942249
23;mu1;0.28929856
24;mu1;0.30046135
25;mu1;0.3064757
26;mu1;0.29304203
27;mu1;0.30453622
28;mu1;0.29673195
29;mu1;0.30782318
30;mu1;0.31133214
31;mu1;0.30184472
32;mu1;0.31110558
33;mu1;0.30555117
34;mu1;0.30210048
35;mu1;0.3081975
36;mu1;0.29253694
37;mu1;0.29607397
38;mu1;0.29838103
39;mu1;0.2985981
40;mu1;0.29161197
41;mu1;0.29973346
42;mu1;0.305915
43;mu1;0.30934447
44;mu1;0.30439553
45;mu1;0.30539548
46;mu1;0.29232088
47;mu1;0.2997379
48;mu1;0.30675343
49;mu1;0.29741484
50;mu2;90.3095
51;mu2;90.56253
52;mu2;91.55133
53;mu2;89.83028
54;mu2;90.74651
55;mu2;89.96027
56;mu2;90.38642
57;mu2;89.74161
58;mu2;90.63294
59;mu2;89.745514
60;mu2;90.34996
61;mu2;89.70355
62;mu2;89.985344
63;mu2;89.98845
64;mu2;89.58861
65;mu2;90.33838
66;mu2;90.37947
67;mu2;90.36638
68;mu2;90.668175
69;mu2;89.50317
70;mu2;89.823364
71;mu2;90.804855
72;mu2;89.983826
73;mu2;89.585266
74;mu2;89.91158
75;mu2;90.5716
76;mu2;89.79434
77;mu2;89.69979
78;mu2;90.28962
79;mu2;90.65994
80;mu2;90.73546
81;mu2;90.58543
82;mu2;90.13522
83;mu2;90.445786
84;mu2;90.25876
85;mu2;90.00502
86;mu2;89.97026
87;mu2;89.50514
88;mu2;89.01539
89;mu2;89.30431
90;mu2;90.05056
91;mu2;90.02421
92;mu2;90.04784
93;mu2;89.391235
94;mu2;89.24074
95;mu2;90.2968
96;mu2;90.39747
97;mu2;90.605515
98;mu2;89.01885
99;mu2;89.27066
100;mu3;7.163252
101;mu3;7.5351744
102;mu3;7.797471
103;mu3;7.66168
104;mu3;7.3963523
105;mu3;7.250847
106;mu3;7.299993
107;mu3;7.4020634
108;mu3;7.603533
109;mu3;7.367739
110;mu3;7.408108
111;mu3;7.673439
112;mu3;7.4593596
113;mu3;7.785897
114;mu3;7.453224
115;mu3;7.4486833
116;mu3;7.6956425
117;mu3;7.315979
118;mu3;7.368185
119;mu3;7.719662
120;mu3;7.3311634
121;mu3;7.802295
122;mu3;7.348548
123;mu3;7.4653387
124;mu3;7.4886103
125;mu3;7.478512
126;mu3;7.447321
127;mu3;7.7019024
128;mu3;7.474978
129;mu3;7.63269
130;mu3;7.6590753
131;mu3;7.279425
132;mu3;7.6934958
133;mu3;7.703442
134;mu3;7.6725397
135;mu3;7.604965
136;mu3;7.5824184
137;mu3;7.396924
138;mu3;7.572011
139;mu3;7.4278364
140;mu3;7.2304354
141;mu3;7.3212
142;mu3;7.9391994
143;mu3;7.359005
144;mu3;7.621085
145;mu3;7.80576
146;mu3;7.553477
147;mu3;7.678416
148;mu3;7.4184465
149;mu3;7.5320244
150;gamma2_1;0.0023184603
151;gamma2_1;0.003130347
152;gamma2_1;0.0028615268
153;gamma2_1;0.0019798686
154;gamma2_1;0.0031805416
