;variable;value
0;beta_0;-2.3477619
1;beta_0;-1.9748707
2;beta_0;-1.9052936
3;beta_0;-1.882156
4;beta_0;-1.9114226
5;beta_0;-1.4138902
6;beta_0;-1.9841169
7;beta_0;-1.3206191
8;beta_0;-1.8156459
9;beta_0;-2.0598986
10;beta_0;0.0
11;beta_0;-1.5675311
12;beta_0;-1.3360714
13;beta_0;0.0
14;beta_0;-1.7226886
15;beta_0;-2.0940235
16;beta_0;-2.0930266
17;beta_0;-1.8081323
18;beta_0;-1.7008992
19;beta_0;-2.005049
20;beta_0;-1.975016
21;beta_0;-1.7074909
22;beta_0;-1.680627
23;beta_0;-2.0123608
24;beta_0;-1.9271481
25;beta_0;-2.2096803
26;beta_0;-1.3719352
27;beta_0;-1.525308
28;beta_0;0.0
29;beta_0;-1.9863614
30;beta_0;-1.6439592
31;beta_0;-2.1563072
32;beta_0;0.0
33;beta_0;-1.5199378
34;beta_0;-1.9785541
35;beta_0;-1.6872683
36;beta_0;-1.8286432
37;beta_0;-1.5599214
38;beta_0;-1.786728
39;beta_0;-2.0456579
40;beta_0;-1.6656523
41;beta_0;-1.9751701
42;beta_0;-1.6955552
43;beta_0;-1.8048786
44;beta_0;-1.9904196
45;beta_0;-1.6484128
46;beta_0;-2.0361652
47;beta_0;-2.039122
48;beta_0;-2.3740199
49;beta_0;-1.3823404
50;beta_1;0.0
51;beta_1;0.0
52;beta_1;0.0
53;beta_1;0.0
54;beta_1;-1.0693246
55;beta_1;0.0
56;beta_1;0.0
57;beta_1;0.0
58;beta_1;0.0
59;beta_1;0.0
60;beta_1;0.0
61;beta_1;0.0
62;beta_1;0.0
63;beta_1;0.0
64;beta_1;-0.97054666
65;beta_1;0.0
66;beta_1;0.0
67;beta_1;-1.1670531
68;beta_1;-1.2213279
69;beta_1;0.0
70;beta_1;0.0
71;beta_1;0.0
72;beta_1;0.0
73;beta_1;0.0
74;beta_1;0.0
75;beta_1;0.0
76;beta_1;0.0
77;beta_1;0.0
78;beta_1;0.0
79;beta_1;0.0
80;beta_1;-0.8873982
81;beta_1;-1.3573767
82;beta_1;0.0
83;beta_1;0.0
84;beta_1;0.0
85;beta_1;0.0
86;beta_1;0.0
87;beta_1;0.0
88;beta_1;0.0
89;beta_1;-0.78333664
90;beta_1;0.0
91;beta_1;0.0
92;beta_1;0.0
93;beta_1;0.0
94;beta_1;0.0
95;beta_1;0.0
96;beta_1;0.0
97;beta_1;0.0
98;beta_1;0.0
99;beta_1;0.0
100;beta_2;0.0
101;beta_2;0.0
102;beta_2;0.0
103;beta_2;0.0
104;beta_2;1.05509
105;beta_2;0.0
106;beta_2;0.0
107;beta_2;0.0
108;beta_2;0.98665434
109;beta_2;0.0
110;beta_2;0.99496835
111;beta_2;0.0
112;beta_2;0.0
113;beta_2;0.0
114;beta_2;1.1567155
115;beta_2;0.0
116;beta_2;1.2340378
117;beta_2;0.0
118;beta_2;0.0
119;beta_2;0.0
