;variable;value
0;mu1;0.30134565
1;mu1;0.29556054
2;mu1;0.29582262
3;mu1;0.30137908
4;mu1;0.29979014
5;mu1;0.29671255
6;mu1;0.29471478
7;mu1;0.2911311
8;mu1;0.29943088
9;mu1;0.30338457
10;mu1;0.31380334
11;mu1;0.29334867
12;mu1;0.30373594
13;mu1;0.30064765
14;mu1;0.2903352
15;mu1;0.29577744
16;mu1;0.3050054
17;mu1;0.29247144
18;mu1;0.29618812
19;mu1;0.3015118
20;mu1;0.3006647
21;mu1;0.30188984
22;mu1;0.29459992
23;mu1;0.28913027
24;mu1;0.29997385
25;mu1;0.30634928
26;mu1;0.29277638
27;mu1;0.3043978
28;mu1;0.29666248
29;mu1;0.30768225
30;mu1;0.31125948
31;mu1;0.3017851
32;mu1;0.31120953
33;mu1;0.3055239
34;mu1;0.30221403
35;mu1;0.30798563
36;mu1;0.29228026
37;mu1;0.29656586
38;mu1;0.29870796
39;mu1;0.29852405
40;mu1;0.29154676
41;mu1;0.29962334
42;mu1;0.30667531
43;mu1;0.30949384
44;mu1;0.3039645
45;mu1;0.305316
46;mu1;0.29217297
47;mu1;0.29912123
48;mu1;0.30654243
49;mu1;0.29778954
50;mu2;90.33173
51;mu2;90.59031
52;mu2;91.633484
53;mu2;89.758095
54;mu2;90.79139
55;mu2;89.93726
56;mu2;90.395096
57;mu2;89.78058
58;mu2;90.624176
59;mu2;89.69341
60;mu2;90.37556
61;mu2;89.73104
62;mu2;90.04805
63;mu2;89.91209
64;mu2;89.577644
65;mu2;90.3579
66;mu2;90.336205
67;mu2;90.37653
68;mu2;90.59244
69;mu2;89.5241
70;mu2;89.82431
71;mu2;90.847916
72;mu2;90.010704
73;mu2;89.5942
74;mu2;89.849976
75;mu2;90.61272
76;mu2;89.80361
77;mu2;89.68191
78;mu2;90.281525
79;mu2;90.74826
80;mu2;90.70062
81;mu2;90.574356
82;mu2;90.13305
83;mu2;90.40752
84;mu2;90.242004
85;mu2;90.02542
86;mu2;89.92973
87;mu2;89.563354
88;mu2;89.056305
89;mu2;89.306656
90;mu2;90.050064
91;mu2;89.99447
92;mu2;90.12726
93;mu2;89.43123
94;mu2;89.146835
95;mu2;90.28873
96;mu2;90.38248
97;mu2;90.53482
98;mu2;89.00824
99;mu2;89.32651
100;mu3;7.193288
101;mu3;7.536213
102;mu3;7.828024
103;mu3;7.625147
104;mu3;7.4026327
105;mu3;7.258521
106;mu3;7.279794
107;mu3;7.4243975
108;mu3;7.6217027
109;mu3;7.3372517
110;mu3;7.4037704
111;mu3;7.6729136
112;mu3;7.4927754
113;mu3;7.768045
114;mu3;7.4464917
115;mu3;7.435672
116;mu3;7.6775737
117;mu3;7.317798
118;mu3;7.345889
119;mu3;7.7445755
120;mu3;7.3231554
121;mu3;7.8058476
122;mu3;7.3709183
123;mu3;7.4556494
124;mu3;7.4643807
125;mu3;7.46889
126;mu3;7.436187
127;mu3;7.6906023
128;mu3;7.492505
129;mu3;7.63842
130;mu3;7.651424
131;mu3;7.2834277
132;mu3;7.6867557
133;mu3;7.6814365
134;mu3;7.6696844
135;mu3;7.601179
136;mu3;7.5720315
137;mu3;7.419408
138;mu3;7.5802255
139;mu3;7.42477
140;mu3;7.2328205
141;mu3;7.3020406
142;mu3;7.98414
143;mu3;7.378577
144;mu3;7.5979767
145;mu3;7.797196
146;mu3;7.5378904
147;mu3;7.63207
148;mu3;7.408509
149;mu3;7.5506287
150;gamma2_1;0.0023176996
151;gamma2_1;0.0031231227
152;gamma2_1;0.0028373562
153;gamma2_1;0.0019744188
154;gamma2_1;0.003201397
155;gamma2_1;0.002273714
156;gamma2_1;0.0020507511
157;gamma2_1;0.0037541531
158;gamma2_1;0.002740202
159;gamma2_1;0.0029846749
160;gamma2_1;0.0021613333
161;gamma2_1;0.0023114546
162;gamma2_1;0.0028576574
163;gamma2_1;0.0028628374
164;gamma2_1;0.0028033538
165;gamma2_1;0.0022087768
166;gamma2_1;0.0019818242
167;gamma2_1;0.001943329
168;gamma2_1;0.0024047545
169;gamma2_1;0.0021005135
170;gamma2_1;0.0024907354
171;gamma2_1;0.0031930665
172;gamma2_1;0.00279642
173;gamma2_1;0.0025380794
174;gamma2_1;0.0030861085
175;gamma2_1;0.0022064666
176;gamma2_1;0.002945497
177;gamma2_1;0.0019791443
178;gamma2_1;0.0027371815
179;gamma2_1;0.0020709354
180;gamma2_1;0.002469139
181;gamma2_1;0.0027014287
182;gamma2_1;0.0022552249
183;gamma2_1;0.0028115734
184;gamma2_1;0.00277597
185;gamma2_1;0.0025376978
186;gamma2_1;0.002830545
187;gamma2_1;0.002771766
188;gamma2_1;0.0022420324
189;gamma2_1;0.0024689701
190;gamma2_1;0.0024148636
191;gamma2_1;0.003134462
192;gamma2_1;0.0019303387
193;gamma2_1;0.0027289996
194;gamma2_1;0.002424871
195;gamma2_1;0.002964381
196;gamma2_1;0.0024345065
197;gamma2_1;0.0015101333
198;gamma2_1;0.002237604
199;gamma2_1;0.0025811445
200;gamma2_2;20.353283
201;gamma2_2;17.4681
202;gamma2_2;20.724983
203;gamma2_2;15.180872
204;gamma2_2;17.609957
205;gamma2_2;16.622272
206;gamma2_2;18.260592
207;gamma2_2;19.205679
208;gamma2_2;19.401682
209;gamma2_2;17.791664
210;gamma2_2;22.634377
211;gamma2_2;15.156001
212;gamma2_2;18.932613
213;gamma2_2;18.44144
214;gamma2_2;22.75584
215;gamma2_2;18.589901
216;gamma2_2;23.558846
217;gamma2_2;30.437943
218;gamma2_2;19.853762
