;variable;value
0;mu1;0.30357817
1;mu1;0.29329148
2;mu1;0.29517668
3;mu1;0.2994066
4;mu1;0.30283323
5;mu1;0.2966493
6;mu1;0.29624134
7;mu1;0.29099125
8;mu1;0.29988557
9;mu1;0.305272
10;mu1;0.31277838
11;mu1;0.29392022
12;mu1;0.3026325
13;mu1;0.3010364
14;mu1;0.2900855
15;mu1;0.2952525
16;mu1;0.30467883
17;mu1;0.29392236
18;mu1;0.2985283
19;mu1;0.30011436
20;mu1;0.3013741
21;mu1;0.30008703
22;mu1;0.29585138
23;mu1;0.29133976
24;mu1;0.30102164
25;mu1;0.3070551
26;mu1;0.2943612
27;mu1;0.30207163
28;mu1;0.2977087
29;mu1;0.3075799
30;mu1;0.30992693
31;mu1;0.3020451
32;mu1;0.3119097
33;mu1;0.30441213
34;mu1;0.30223137
35;mu1;0.30814612
36;mu1;0.29374045
37;mu1;0.29599717
38;mu1;0.29869404
39;mu1;0.29744303
40;mu1;0.29105666
41;mu1;0.29938108
42;mu1;0.30553642
43;mu1;0.31066638
44;mu1;0.30230755
45;mu1;0.30461636
46;mu1;0.2915139
47;mu1;0.29838133
48;mu1;0.30630353
49;mu1;0.29636768
50;mu2;90.54918
51;mu2;90.33835
52;mu2;91.40828
53;mu2;89.56144
54;mu2;90.9273
55;mu2;89.9949
56;mu2;90.42629
57;mu2;89.91687
58;mu2;90.77417
59;mu2;89.70992
60;mu2;90.35824
61;mu2;89.76566
62;mu2;90.12995
63;mu2;90.08322
64;mu2;89.5564
65;mu2;90.40546
66;mu2;90.36835
67;mu2;90.54404
68;mu2;90.591225
69;mu2;89.372025
70;mu2;89.877686
71;mu2;90.475815
72;mu2;89.84717
73;mu2;89.761986
74;mu2;89.81922
75;mu2;90.682915
76;mu2;90.12946
77;mu2;89.519684
78;mu2;90.33486
79;mu2;90.49711
80;mu2;90.64992
81;mu2;90.43071
82;mu2;90.14538
83;mu2;90.28878
84;mu2;90.04162
85;mu2;90.130424
86;mu2;90.10838
87;mu2;89.453926
88;mu2;89.024376
89;mu2;89.39994
90;mu2;90.02182
91;mu2;89.95182
92;mu2;89.96652
93;mu2;89.50058
94;mu2;89.05759
95;mu2;90.32818
96;mu2;90.21468
97;mu2;90.558846
98;mu2;88.853226
99;mu2;89.21441
100;mu3;7.3335133
101;mu3;7.4346285
102;mu3;7.765136
103;mu3;7.5189824
104;mu3;7.5401554
105;mu3;7.24688
106;mu3;7.344642
107;mu3;7.380601
108;mu3;7.637663
109;mu3;7.4543757
110;mu3;7.4269533
111;mu3;7.721965
112;mu3;7.4702377
113;mu3;7.7819066
114;mu3;7.44652
115;mu3;7.420826
116;mu3;7.657462
117;mu3;7.41534
118;mu3;7.4963675
119;mu3;7.690575
120;mu3;7.359624
121;mu3;7.678089
122;mu3;7.4725084
123;mu3;7.597859
124;mu3;7.5170603
125;mu3;7.499756
126;mu3;7.5079207
127;mu3;7.5846996
128;mu3;7.5771513
129;mu3;7.6672072
130;mu3;7.618578
131;mu3;7.296338
132;mu3;7.7284765
133;mu3;7.660334
134;mu3;7.7016172
135;mu3;7.5973845
136;mu3;7.6707845
137;mu3;7.4096637
138;mu3;7.5810966
139;mu3;7.3742046
140;mu3;7.2263045
141;mu3;7.2617965
142;mu3;7.9272747
143;mu3;7.438673
144;mu3;7.48578
145;mu3;7.7978888
146;mu3;7.486851
147;mu3;7.581101
148;mu3;7.376861
149;mu3;7.48687
150;gamma2_1;0.0022995253
151;gamma2_1;0.0030828868
152;gamma2_1;0.0028697103
153;gamma2_1;0.0018776542
154;gamma2_1;0.0031635272
155;gamma2_1;0.002094781
156;gamma2_1;0.0020146738
157;gamma2_1;0.0035317042
158;gamma2_1;0.0027642394
159;gamma2_1;0.003020276
160;gamma2_1;0.002343163
161;gamma2_1;0.0021869882
162;gamma2_1;0.0029570789
163;gamma2_1;0.0028637133
164;gamma2_1;0.002749035
165;gamma2_1;0.0023347547
166;gamma2_1;0.001981552
167;gamma2_1;0.0018422087
168;gamma2_1;0.0026701423
169;gamma2_1;0.0021156413
170;gamma2_1;0.0024439692
171;gamma2_1;0.003174773
172;gamma2_1;0.0028563833
173;gamma2_1;0.0026432395
174;gamma2_1;0.0031397825
175;gamma2_1;0.0020297482
176;gamma2_1;0.0029369628
177;gamma2_1;0.0019639982
178;gamma2_1;0.0028241782
179;gamma2_1;0.0020230229
180;gamma2_1;0.0024712905
181;gamma2_1;0.0026837923
182;gamma2_1;0.0021602763
183;gamma2_1;0.0029049537
184;gamma2_1;0.0028064847
185;gamma2_1;0.0024449984
186;gamma2_1;0.002785963
187;gamma2_1;0.002758856
188;gamma2_1;0.002267894
189;gamma2_1;0.0025208348
190;gamma2_1;0.0023995275
191;gamma2_1;0.0030467443
192;gamma2_1;0.0020215285
193;gamma2_1;0.0027393836
194;gamma2_1;0.0023879516
195;gamma2_1;0.002983211
196;gamma2_1;0.002394462
197;gamma2_1;0.0016058396
198;gamma2_1;0.0024114202
199;gamma2_1;0.0026605006
200;gamma2_2;19.646465
201;gamma2_2;16.25913
202;gamma2_2;19.454428
203;gamma2_2;15.2682295
204;gamma2_2;17.753437
205;gamma2_2;19.90057
206;gamma2_2;16.139305
207;gamma2_2;20.557364
208;gamma2_2;20.405651
209;gamma2_2;17.307138
210;gamma2_2;22.320446
211;gamma2_2;15.507507
212;gamma2_2;20.243914
213;gamma2_2;17.799719
214;gamma2_2;22.604721
215;gamma2_2;19.472824
216;gamma2_2;25.391834
217;gamma2_2;32.381737
218;gamma2_2;21.608217
219;gamma2_2;17.357597
220;gamma2_2;19.465078
221;gamma2_2;21.059933
222;gamma2_2;21.33683
223;gamma2_2;25.08999
224;gamma2_2;16.995388
225;gamma2_2;20.83105
226;gamma2_2;17.237091
227;gamma2_2;16.522045
228;gamma2_2;16.707691
229;gamma2_2;26.401363
230;gamma2_2;22.151468
231;gamma2_2;22.423811
232;gamma2_2;15.492689
233;gamma2_2;21.241154
234;gamma2_2;15.702234
235;gamma2_2;25.799677
236;gamma2_2;23.787556
237;gamma2_2;20.689075
238;gamma2_2;23.442709
239;gamma2_2;18.09932
240;gamma2_2;17.333405
241;gamma2_2;21.133224
242;gamma2_2;22.19067
243;gamma2_2;25.720161
244;gamma2_2;21.68381
245;gamma2_2;19.226414
246;gamma2_2;21.099026
247;gamma2_2;17.752485
248;gamma2_2;15.395598
249;gamma2_2;23.290081
250;sigma2;0.0010199894
251;sigma2;0.0010178429
252;sigma2;0.00097570184
253;sigma2;0.000949431
254;sigma2;0.0010345571
255;sigma2;0.0009889558
256;sigma2;0.00097608106
257;sigma2;0.001053114
258;sigma2;0.00097016233
259;sigma2;0.0010428687
260;sigma2;0.0010785573
261;sigma2;0.0010469999
262;sigma2;0.0010626216
263;sigma2;0.0009177794
264;sigma2;0.0009248593
265;sigma2;0.0010424507
266;sigma2;0.00096817134
267;sigma2;0.00097537116
268;sigma2;0.0010395959
269;sigma2;0.0009942825
270;sigma2;0.0009810606
271;sigma2;0.0009425619
272;sigma2;0.001011931
273;sigma2;0.0010416716
274;sigma2;0.00099876
275;sigma2;0.0010277366
276;sigma2;0.0009342271
277;sigma2;0.0009903845
278;sigma2;0.00095201214
279;sigma2;0.0010554952
280;sigma2;0.0010167212
281;sigma2;0.0009943956
282;sigma2;0.0010277437
283;sigma2;0.0009886367
284;sigma2;0.0010390879
285;sigma2;0.0010143459
286;sigma2;0.001006441
287;sigma2;0.001009709
288;sigma2;0.0010112468
289;sigma2;0.0009485876
290;sigma2;0.00096275937
291;sigma2;0.0009805671
292;sigma2;0.0010148138
293;sigma2;0.0010409703
294;sigma2;0.0009822282
295;sigma2;0.0009887449
296;sigma2;0.0010026654
297;sigma2;0.000983406
298;sigma2;0.00095798
299;sigma2;0.0009873726
300;alpha;2.4711146
301;alpha;0.425218
302;alpha;-1.355
303;alpha;1.6817856
304;alpha;3.0653143
305;alpha;5.0337734
306;alpha;3.0867567
307;alpha;2.3437195
308;alpha;3.6387835
309;alpha;2.728128
310;alpha;5.4324074
311;alpha;1.6207535
312;alpha;0.4116477
313;alpha;1.7861003
314;alpha;2.0207307
315;alpha;3.5349398
316;alpha;4.686007
317;alpha;6.1880517
318;alpha;4.0300436
319;alpha;7.8594394
320;alpha;3.698585
321;alpha;-0.26080742
322;alpha;2.454092
323;alpha;2.6266732
324;alpha;3.016416
325;alpha;2.5804477
326;alpha;-1.1674522
327;alpha;6.0516834
328;alpha;-2.1353624
329;alpha;4.6924763
330;alpha;4.1676993
331;alpha;3.472508
332;alpha;2.6289594
333;alpha;1.4127194
334;alpha;3.8788633
335;alpha;4.4896226
336;alpha;7.0137496
337;alpha;5.1485996
338;alpha;0.94295573
339;alpha;0.82564104
340;alpha;0.6556687
341;alpha;1.5891671
342;alpha;3.0163364
343;alpha;3.3213968
344;alpha;3.7859578
345;alpha;-0.77993464
346;alpha;2.898533
347;alpha;1.4782578
348;alpha;3.293611
349;alpha;-0.31048852
