;variable;value
0;beta_0;0.0
1;beta_0;0.0
2;beta_0;0.0
3;beta_0;0.0
4;beta_0;0.0
5;beta_0;0.0
6;beta_0;0.0
7;beta_0;0.0
8;beta_0;0.0
9;beta_0;0.0
10;beta_0;0.0
11;beta_0;0.0
12;beta_0;0.0
13;beta_0;0.0
14;beta_0;0.0
15;beta_0;0.0
16;beta_0;0.0
17;beta_0;0.0
18;beta_0;0.0
19;beta_0;0.0
20;beta_0;0.0
21;beta_0;0.0
22;beta_0;0.0
23;beta_0;0.0
24;beta_0;0.0
25;beta_0;0.0
26;beta_0;0.0
27;beta_0;0.0
28;beta_0;0.0
29;beta_0;0.0
30;beta_0;0.0
31;beta_0;0.0
32;beta_0;0.0
33;beta_0;0.0
34;beta_0;0.0
35;beta_0;0.0
36;beta_0;0.0
37;beta_0;0.0
38;beta_0;0.0
39;beta_0;0.0
40;beta_0;0.0
41;beta_0;0.0
42;beta_0;0.0
43;beta_0;0.0
44;beta_0;0.0
45;beta_0;0.0
46;beta_0;0.0
47;beta_0;0.0
48;beta_0;0.0
49;beta_0;0.0
50;beta_1;0.0
51;beta_1;0.0
52;beta_1;0.0
53;beta_1;0.0
54;beta_1;0.0
55;beta_1;0.0
56;beta_1;0.0
57;beta_1;0.0
58;beta_1;0.0
59;beta_1;0.0
60;beta_1;0.0
61;beta_1;0.0
62;beta_1;0.0
63;beta_1;0.0
64;beta_1;0.0
65;beta_1;0.0
66;beta_1;0.0
67;beta_1;0.0
68;beta_1;0.0
69;beta_1;0.0
70;beta_1;0.0
71;beta_1;0.0
72;beta_1;0.0
73;beta_1;0.0
74;beta_1;0.0
75;beta_1;0.0
76;beta_1;0.0
77;beta_1;0.0
78;beta_1;0.0
79;beta_1;0.0
80;beta_1;0.0
81;beta_1;0.0
82;beta_1;0.0
83;beta_1;0.0
84;beta_1;0.0
85;beta_1;0.0
86;beta_1;0.0
87;beta_1;0.0
88;beta_1;0.0
89;beta_1;0.0
90;beta_1;0.0
91;beta_1;0.0
92;beta_1;0.0
93;beta_1;0.0
94;beta_1;0.0
95;beta_1;0.0
96;beta_1;0.0
97;beta_1;0.0
98;beta_1;0.0
99;beta_1;0.0
100;beta_2;0.0
101;beta_2;0.0
102;beta_2;0.0
103;beta_2;0.0
104;beta_2;0.0
105;beta_2;0.0
106;beta_2;0.0
107;beta_2;0.0
108;beta_2;0.0
109;beta_2;0.0
110;beta_2;0.0
111;beta_2;0.0
112;beta_2;0.0
113;beta_2;0.0
114;beta_2;0.0
115;beta_2;0.0
116;beta_2;0.0
117;beta_2;0.0
118;beta_2;0.0
119;beta_2;0.0
120;beta_2;0.0
121;beta_2;0.0
122;beta_2;0.0
123;beta_2;0.0
124;beta_2;0.0
125;beta_2;0.0
126;beta_2;0.0
127;beta_2;0.0
128;beta_2;0.0
129;beta_2;0.0
130;beta_2;0.0
131;beta_2;0.0
132;beta_2;0.0
133;beta_2;0.0
134;beta_2;0.0
135;beta_2;0.0
136;beta_2;0.0
137;beta_2;0.0
138;beta_2;0.0
139;beta_2;0.0
140;beta_2;0.0
141;beta_2;0.0
142;beta_2;0.0
143;beta_2;0.0
144;beta_2;0.0
145;beta_2;0.0
146;beta_2;0.0
147;beta_2;0.0
148;beta_2;0.0
149;beta_2;0.0
150;beta_3;0.0
151;beta_3;0.0
152;beta_3;0.0
153;beta_3;0.0
154;beta_3;0.0
155;beta_3;0.0
156;beta_3;0.0
157;beta_3;0.0
158;beta_3;0.0
159;beta_3;0.0
160;beta_3;0.0
161;beta_3;0.0
162;beta_3;0.0
163;beta_3;0.0
164;beta_3;0.0
165;beta_3;0.0
166;beta_3;0.0
167;beta_3;0.0
168;beta_3;0.0
169;beta_3;0.0
170;beta_3;0.0
171;beta_3;0.0
172;beta_3;0.0
173;beta_3;0.0
174;beta_3;0.0
175;beta_3;0.0
176;beta_3;0.0
177;beta_3;0.0
178;beta_3;0.0
179;beta_3;0.0
180;beta_3;0.0
181;beta_3;0.0
182;beta_3;0.0
183;beta_3;0.0
184;beta_3;0.0
185;beta_3;0.0
186;beta_3;0.0
187;beta_3;0.0
188;beta_3;0.0
189;beta_3;0.0
190;beta_3;0.0
191;beta_3;0.0
192;beta_3;0.0
193;beta_3;0.0
194;beta_3;0.0
195;beta_3;0.0
196;beta_3;0.0
197;beta_3;0.0
198;beta_3;0.0
199;beta_3;0.0
200;beta_4;0.0
201;beta_4;0.0
202;beta_4;0.0
203;beta_4;0.0
204;beta_4;0.0
205;beta_4;0.0
206;beta_4;0.0
207;beta_4;0.0
208;beta_4;0.0
209;beta_4;0.0
210;beta_4;0.0
211;beta_4;0.0
212;beta_4;0.0
213;beta_4;0.0
214;beta_4;0.0
215;beta_4;0.0
216;beta_4;0.0
217;beta_4;0.0
218;beta_4;0.0
219;beta_4;0.0
220;beta_4;0.0
221;beta_4;0.0
222;beta_4;0.0
223;beta_4;0.0
224;beta_4;0.0
225;beta_4;0.0
226;beta_4;0.0
227;beta_4;0.0
228;beta_4;0.0
229;beta_4;0.0
230;beta_4;0.0
231;beta_4;0.0
232;beta_4;0.0
233;beta_4;0.0
234;beta_4;0.0
235;beta_4;0.0
236;beta_4;0.0
237;beta_4;0.0
238;beta_4;0.0
239;beta_4;0.0
240;beta_4;0.0
241;beta_4;0.0
242;beta_4;0.0
243;beta_4;0.0
244;beta_4;0.0
245;beta_4;0.0
246;beta_4;0.0
247;beta_4;0.0
248;beta_4;0.0
249;beta_4;0.0
250;beta_5;0.0
251;beta_5;0.0
252;beta_5;0.0
253;beta_5;0.0
254;beta_5;0.0
255;beta_5;0.0
256;beta_5;0.0
257;beta_5;0.0
258;beta_5;0.0
259;beta_5;0.0
260;beta_5;0.0
261;beta_5;0.0
262;beta_5;0.0
263;beta_5;0.0
264;beta_5;0.0
265;beta_5;0.0
266;beta_5;0.0
267;beta_5;0.0
268;beta_5;0.0
269;beta_5;0.0
270;beta_5;0.0
271;beta_5;0.0
272;beta_5;0.0
273;beta_5;0.0
274;beta_5;0.0
275;beta_5;0.0
276;beta_5;0.0
277;beta_5;0.0
278;beta_5;0.0
279;beta_5;0.0
280;beta_5;0.0
281;beta_5;0.0
282;beta_5;0.0
283;beta_5;0.0
284;beta_5;0.0
285;beta_5;0.0
286;beta_5;0.0
287;beta_5;0.0
288;beta_5;0.0
289;beta_5;0.0
290;beta_5;0.0
291;beta_5;0.0
292;beta_5;0.0
293;beta_5;0.0
294;beta_5;0.0
295;beta_5;0.0
296;beta_5;0.0
297;beta_5;0.0
298;beta_5;0.0
299;beta_5;0.0
300;beta_6;0.0
301;beta_6;0.0
302;beta_6;0.0
303;beta_6;0.0
304;beta_6;0.0
305;beta_6;0.0
306;beta_6;0.0
307;beta_6;0.0
308;beta_6;0.0
309;beta_6;0.0
310;beta_6;0.0
311;beta_6;0.0
312;beta_6;0.0
313;beta_6;0.0
314;beta_6;0.0
315;beta_6;0.0
316;beta_6;0.0
317;beta_6;0.0
318;beta_6;0.0
319;beta_6;0.0
320;beta_6;0.0
321;beta_6;0.0
322;beta_6;0.0
323;beta_6;0.0
324;beta_6;0.0
325;beta_6;0.0
326;beta_6;0.0
327;beta_6;0.0
328;beta_6;0.0
329;beta_6;0.0
330;beta_6;0.0
331;beta_6;0.0
332;beta_6;0.0
333;beta_6;0.0
334;beta_6;0.0
335;beta_6;0.0
336;beta_6;0.0
337;beta_6;0.0
338;beta_6;0.0
339;beta_6;0.0
340;beta_6;0.0
341;beta_6;0.0
342;beta_6;0.0
343;beta_6;0.0
344;beta_6;0.0
345;beta_6;0.0
346;beta_6;0.0
347;beta_6;0.0
348;beta_6;0.0
349;beta_6;0.0
350;beta_7;0.0
351;beta_7;0.0
352;beta_7;0.0
353;beta_7;0.0
354;beta_7;0.0
