;variable;value
0;beta_0;-1.7067646
1;beta_0;-2.0481544
2;beta_0;-2.1516383
3;beta_0;-1.8651206
4;beta_1;-1.3186268
5;beta_1;-0.9021713
6;beta_1;-1.0099162
7;beta_1;-0.7762397
8;beta_2;1.0107238
9;beta_2;0.9062659
10;beta_2;1.2032146
11;beta_2;1.1222256
12;beta_3;1.7786444
13;beta_3;2.0489237
14;beta_3;2.2052884
15;beta_3;2.2455142
16;beta_4;0.009193116
17;beta_4;-0.11879008
18;beta_4;0.12474408
19;beta_4;-0.14940917
20;beta_5;0.23612477
21;beta_5;-0.21724498
22;beta_5;-0.21418437
23;beta_5;-0.13217992
24;beta_6;0.12482807
25;beta_6;0.28599435
26;beta_6;0.14651772
27;beta_6;0.105169855
28;beta_7;-0.0704145
29;beta_7;-0.00065954344
30;beta_7;-0.2501726
31;beta_7;0.07756785
32;beta_8;-0.026336221
33;beta_8;-0.16261834
34;beta_8;0.094092
35;beta_8;0.27362475
36;beta_9;0.18319213
37;beta_9;0.027567811
38;beta_9;0.052961394
39;beta_9;-0.0990756
