;variable;value
0;mu1;0.3026047
1;mu1;0.2937245
2;mu1;0.29710326
3;mu1;0.3003466
4;mu2;90.47561
5;mu2;90.338776
6;mu2;91.58516
7;mu2;89.76569
8;mu3;7.2638607
9;mu3;7.458344
10;mu3;7.8834467
11;mu3;7.580119
12;gamma2_1;0.002265731
13;gamma2_1;0.0031111373
14;gamma2_1;0.002976502
15;gamma2_1;0.0018784055
16;gamma2_2;19.730602
17;gamma2_2;16.075098
18;gamma2_2;20.113632
19;gamma2_2;15.590097
20;sigma2;0.0010241806
21;sigma2;0.001023241
22;sigma2;0.0009785206
23;sigma2;0.0009512424
24;alpha;14.744649
25;alpha;12.063628
26;alpha;12.425844
27;alpha;11.328768
