;variable;value
0;beta_{i};-1.7049524
1;beta_{i};-2.0489187
2;beta_{i};-2.1491086
3;beta_{i};-1.866036
4;beta_{i};-1.3180623
5;beta_{i};-0.9020827
6;beta_{i};-1.008717
7;beta_{i};-0.7783304
8;beta_{i};1.0101666
9;beta_{i};0.9089267
10;beta_{i};1.2029443
11;beta_{i};1.1229786
12;beta_{i};1.7771581
13;beta_{i};2.0460389
14;beta_{i};2.2069104
15;beta_{i};2.2453415
16;beta_{i};0.007993534
17;beta_{i};-0.117126875
18;beta_{i};0.12671778
19;beta_{i};-0.14999254
20;beta_{i};0.23456272
21;beta_{i};-0.21888548
22;beta_{i};-0.21555048
23;beta_{i};-0.13204768
24;beta_{i};0.1240254
25;beta_{i};0.28542393
26;beta_{i};0.14589334
27;beta_{i};0.10621076
28;beta_{i};-0.068572216
29;beta_{i};-0.00017944998
30;beta_{i};-0.25096214
31;beta_{i};0.07611983
32;beta_{i};-0.02655699
33;beta_{i};-0.16261694
34;beta_{i};0.09503647
35;beta_{i};0.271087
36;beta_{i};0.18211095
37;beta_{i};0.02991168
38;beta_{i};0.052363627
39;beta_{i};-0.099115744
