;variable;value
0;mu1;0.30239925
1;mu1;0.29388767
2;mu1;0.2975638
3;mu1;0.30063665
4;mu2;90.45537
5;mu2;90.34679
6;mu2;91.651665
7;mu2;89.7898
8;mu3;7.24874
9;mu3;7.465454
10;mu3;7.904896
11;mu3;7.593523
12;gamma2_1;0.0022779459
13;gamma2_1;0.003107561
14;gamma2_1;0.0029638417
15;gamma2_1;0.001891021
16;gamma2_2;19.766289
17;gamma2_2;15.990746
18;gamma2_2;20.028088
19;gamma2_2;15.126391
20;sigma2;0.0010216659
21;sigma2;0.001021051
22;sigma2;0.0009780424
23;sigma2;0.0009510563
24;alpha;14.721491
25;alpha;12.104153
26;alpha;12.516314
27;alpha;11.336132
