"";"GENOTYPE";"REPLICATE";"BLOCK";"Y";"Date";"Line";"Day"
"1";"APACHE";1;1;0;2020-07-04;"APACHE_1";0
"2";"ALTIGO";1;1;0;2020-07-04;"ALTIGO_1";0
"3";"BERMUDE";1;1;0;2020-07-04;"BERMUDE_1";0
"4";"PREMIO";1;1;0;2020-07-04;"PREMIO_1";0
"5";"EINSTEIN";1;2;0;2020-07-04;"EINSTEIN_1";0
"6";"CENTENAIRE";1;1;0;2020-07-04;"CENTENAIRE_1";0
"7";"KWS_PODIUM";1;2;0;2020-07-04;"KWS_PODIUM_1";0
"8";"AMBITION";1;1;0;2020-07-04;"AMBITION_1";0
"9";"CORVUS";1;1;0;2020-07-04;"CORVUS_1";0
"10";"HEREWARD";1;1;0;2020-07-04;"HEREWARD_1";0
"11";"LEAR";1;1;0;2020-07-04;"LEAR_1";0
"12";"OAKLEY";1;1;0;2020-07-04;"OAKLEY_1";0
"13";"ALCHEMY";1;1;0;2020-07-04;"ALCHEMY_1";0
"14";"AMUNDSEN";1;1;0;2020-07-04;"AMUNDSEN_1";0
"15";"CLAIRE";1;1;0;2020-07-04;"CLAIRE_1";0
"16";"ESKET";1;1;0;2020-07-04;"ESKET_1";0
"17";"GALVANO";1;2;0;2020-07-04;"GALVANO_1";0
"18";"GARANTUS";1;1;0;2020-07-04;"GARANTUS_1";0
"19";"HAUSSMANN";1;1;0;2020-07-04;"HAUSSMANN_1";0
"20";"ISTABRAQ";1;1;0;2020-07-04;"ISTABRAQ_1";0
"21";"JB_DIEGO";1;1;0;2020-07-04;"JB_DIEGO_1";0
"22";"LIMES";1;1;0;2020-07-04;"LIMES_1";0
"23";"MANAGER";1;1;0;2020-07-04;"MANAGER_1";0
"24";"OXEBO";1;1;0;2020-07-04;"OXEBO_1";0
"25";"PAJERO";1;2;0;2020-07-04;"PAJERO_1";0
"26";"SY_TOLBIAC";1;2;0;2020-07-04;"SY_TOLBIAC_1";0
"27";"PIERROT";1;1;0;2020-07-04;"PIERROT_1";0
"28";"PR22R20";1;1;0;2020-07-04;"PR22R20_1";0
"29";"RAZZANO";1;1;0;2020-07-04;"RAZZANO_1";0
"30";"ROBIGUS";1;1;0;2020-07-04;"ROBIGUS_1";0
"31";"ROSARIO";1;1;0;2020-07-04;"ROSARIO_1";0
"32";"SAMURAI";1;1;0;2020-07-04;"SAMURAI_1";0
"33";"FAIRPLAY";1;1;0;2020-07-04;"FAIRPLAY_1";0
"34";"SELEKT";1;1;0;2020-07-04;"SELEKT_1";0
"35";"SEYRAC";1;1;0;2020-07-04;"SEYRAC_1";0
"36";"SOPHYTRA";1;1;0;2020-07-04;"SOPHYTRA_1";0
"37";"TIMING";1;1;0;2020-07-04;"TIMING_1";0
"38";"VISCOUNT";1;1;0;2020-07-04;"VISCOUNT_1";0
"39";"WARRIOR";1;1;0;2020-07-04;"WARRIOR_1";0
"40";"XI19";1;1;0;2020-07-04;"XI19_1";0
"41";"ALCAZAR";1;2;0;2020-07-04;"ALCAZAR_1";0
"42";"ANTONIUS";1;2;0;2020-07-04;"ANTONIUS_1";0
"43";"RONSARD";1;3;0;2020-07-04;"RONSARD_1";0
"44";"EPHOROS";1;1;0;2020-07-04;"EPHOROS_1";0
"45";"EXPERT";1;2;0;2020-07-04;"EXPERT_1";0
"46";"FLAUBERT";1;2;0;2020-07-04;"FLAUBERT_1";0
"47";"GALLANT";1;3;0;2020-07-04;"GALLANT_1";0
"48";"GLADIATOR";1;2;0;2020-07-04;"GLADIATOR_1";0
"49";"GLASGOW";1;2;0;2020-07-04;"GLASGOW_1";0
