"";"genotype";"semis";"sampling";"sampling_days";"id";"digestibilite"
"1";"F66";"date 1";"7B";45;"7";52,0170895962081
"2";"F66";"date 1";"6B";35;"7";59,6533935362507
"3";"F66";"date 1";"5A";28;"7";58,1047471201437
"4";"F66";"date 1";"8B";56;"7";47,1377865929231
"5";"F66";"date 1";"3";14;"7";60,8932704148633
"6";"F66";"date 1";"6A";35;"7";59,5466797776166
"7";"F66";"date 1";"8A";56;"7";46,613516834828
"8";"F66";"date 1";"2";4;"7";61,5257958576363
"9";"F66";"date 1";"1";0;"7";56,180365791482
"10";"F66";"date 1";"4";21;"7";60,6536767179924
"11";"F66";"date 1";"5B";28;"7";NA
"12";"F66";"date 1";"7A";45;"7";55,3453087658789
"13";"F66";"date 2";"7B";45;"21";50,5179855750479
"14";"F66";"date 2";"6B";35;"21";54,3006237007463
"15";"F66";"date 2";"5A";28;"21";55,0469077540115
"16";"F66";"date 2";"8B";56;"21";48,5740262195343
"17";"F66";"date 2";"3";14;"21";54,9615165215321
"18";"F66";"date 2";"6A";35;"21";52,5730676801807
"19";"F66";"date 2";"8A";56;"21";50,0525804992593
"20";"F66";"date 2";"2";4;"21";59,591886493941
"21";"F66";"date 2";"1";0;"21";60,0545140766805
"22";"F66";"date 2";"4";21;"21";54,0456859168658
"23";"F66";"date 2";"5B";28;"21";52,2237826462627
"24";"F66";"date 2";"7A";45;"21";52,3399286593791
"25";"F66";"date 3";"7B";45;"35";NA
"26";"F66";"date 3";"6B";35;"35";60,5102676820603
"27";"F66";"date 3";"5A";28;"35";58,8628841694504
"28";"F66";"date 3";"8B";56;"35";55,4879501322547
"29";"F66";"date 3";"3";14;"35";56,9939003536633
"30";"F66";"date 3";"6A";35;"35";60,0849177039776
"31";"F66";"date 3";"8A";56;"35";54,673528163465
"32";"F66";"date 3";"2";4;"35";62,3114941203479
"33";"F66";"date 3";"1";0;"35";65,1025571701036
"34";"F66";"date 3";"4";21;"35";56,4911118844737
"35";"F66";"date 3";"5B";28;"35";NA
"36";"F66";"date 3";"7A";45;"35";58,3837982576454
"37";"CM484";"date 1";"7B";45;"3";52,5504278048946
"38";"CM484";"date 1";"6B";35;"3";54,6360653596121
"39";"CM484";"date 1";"5A";28;"3";55,6500553270458
"40";"CM484";"date 1";"8B";56;"3";51,2048418037594
"41";"CM484";"date 1";"3";14;"3";54,7645066191436
"42";"CM484";"date 1";"6A";35;"3";54,587664113026
"43";"CM484";"date 1";"8A";56;"3";51,3165224298413
"44";"CM484";"date 1";"2";4;"3";54,814573118495
"45";"CM484";"date 1";"1";0;"3";53,5392142026781
"46";"CM484";"date 1";"4";21;"3";55,2441670523566
"47";"CM484";"date 1";"5B";28;"3";55,8217425782311
"48";"CM484";"date 1";"7A";45;"3";53,1431447605867
"49";"CM484";"date 2";"7B";45;"17";52,0706514894361
"50";"CM484";"date 2";"6B";35;"17";54,9691056852676
"51";"CM484";"date 2";"5A";28;"17";53,7864818346421
"52";"CM484";"date 2";"8B";56;"17";47,291727269996
"53";"CM484";"date 2";"3";14;"17";55,2184042848622
"54";"CM484";"date 2";"6A";35;"17";53,0678301537951
"55";"CM484";"date 2";"8A";56;"17";50,3985073712847
"56";"CM484";"date 2";"2";4;"17";58,8458008260245
"57";"CM484";"date 2";"1";0;"17";60,185763435738
"58";"CM484";"date 2";"4";21;"17";53,507070681302
"59";"CM484";"date 2";"5B";28;"17";53,9696471724719
"60";"CM484";"date 2";"7A";45;"17";51,7383405872861
"61";"CM484";"date 3";"7B";45;"31";52,1307482351693
"62";"CM484";"date 3";"6B";35;"31";52,2775094872793
"63";"CM484";"date 3";"5A";28;"31";53,532246441456
"64";"CM484";"date 3";"8B";56;"31";52,2925093056566
"65";"CM484";"date 3";"3";14;"31";53,7209190865878
"66";"CM484";"date 3";"6A";35;"31";51,6178766227979
"67";"CM484";"date 3";"8A";56;"31";49,3473781200852
"68";"CM484";"date 3";"2";4;"31";58,4402439580095
"69";"CM484";"date 3";"1";0;"31";60,1068212694669
"70";"CM484";"date 3";"4";21;"31";51,6232986863563
"71";"CM484";"date 3";"5B";28;"31";52,9621870393384
"72";"CM484";"date 3";"7A";45;"31";53,3770475915805
"73";"F271";"date 1";"7B";45;"4";50,4603693694276
"74";"F271";"date 1";"6B";35;"4";56,8413793719873
"75";"F271";"date 1";"5A";28;"4";56,4582074532716
"76";"F271";"date 1";"8B";56;"4";43,8956643113091
"77";"F271";"date 1";"3";14;"4";57,0612292153746
"78";"F271";"date 1";"6A";35;"4";60,9517310513944
"79";"F271";"date 1";"8A";56;"4";43,3751350292994
"80";"F271";"date 1";"2";4;"4";57,2045619773776
"81";"F271";"date 1";"1";0;"4";56,0535595430979
"82";"F271";"date 1";"4";21;"4";53,8031734873012
"83";"F271";"date 1";"5B";28;"4";58,6515036206662
"84";"F271";"date 1";"7A";45;"4";54,8333326368748
"85";"F271";"date 2";"7B";45;"18";49,3711342908716
"86";"F271";"date 2";"6B";35;"18";51,9610558904856
"87";"F271";"date 2";"5A";28;"18";55,1269089276353
"88";"F271";"date 2";"8B";56;"18";46,3719727666814
"89";"F271";"date 2";"3";14;"18";54,9589153308067
"90";"F271";"date 2";"6A";35;"18";54,6198870290405
"91";"F271";"date 2";"8A";56;"18";49,0148154259298
"92";"F271";"date 2";"2";4;"18";60,0567662031506
"93";"F271";"date 2";"1";0;"18";59,2373362623449
"94";"F271";"date 2";"4";21;"18";54,4262491929697
"95";"F271";"date 2";"5B";28;"18";53,1842935032259
"96";"F271";"date 2";"7A";45;"18";49,5117696960905
"97";"F271";"date 3";"7B";45;"32";NA
"98";"F271";"date 3";"6B";35;"32";53,1492476588369
"99";"F271";"date 3";"5A";28;"32";56,4748164241263
"100";"F271";"date 3";"8B";56;"32";45,3123663823525
"101";"F271";"date 3";"3";14;"32";60,1316781679278
"102";"F271";"date 3";"6A";35;"32";52,0047086682205
"103";"F271";"date 3";"8A";56;"32";49,6003484539401
"104";"F271";"date 3";"2";4;"32";63,2157075866129
"105";"F271";"date 3";"1";0;"32";62,9583705902753
"106";"F271";"date 3";"4";21;"32";55,5277155056512
"107";"F271";"date 3";"5B";28;"32";51,5113902527371
"108";"F271";"date 3";"7A";45;"32";49,7526515525626
"109";"G18-F318";"date 1";"7B";45;"9";52,9535860975558
"110";"G18-F318";"date 1";"6B";35;"9";54,8911142980454
"111";"G18-F318";"date 1";"5A";28;"9";57,480203433376
"112";"G18-F318";"date 1";"8B";56;"9";49,7126184801405
"113";"G18-F318";"date 1";"3";14;"9";54,8689047006153
"114";"G18-F318";"date 1";"6A";35;"9";56,4934186971714
"115";"G18-F318";"date 1";"8A";56;"9";50,204698661774
